,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
REMISE,1.9302099659335883,49.28793447180028,85821243.0,Polygon,Poste électrique de Remise,400000;63000,RTE,,,
HAVRE (LE) (POSTE),0.1481989297049806,49.47773131746292,118244194.0,Polygon,Poste électrique du Havre,400000,RTE,,,
ISSEL,1.983107541763922,43.38431494432152,109859712.0,Polygon,Poste électrique de Issel,400000;63000,RTE,,,
CANTEGRIT,-0.8874731635478454,44.01307996889375,111458307.0,Polygon,Poste électrique de Cantegrit,400000;225000;63000,RTE,,,
YVELINES-OUEST,1.8288185348619976,48.80437562640999,117350758.0,Polygon,Poste électrique d'Yvelines-Ouest,400000;225000,RTE,,,
AVOINE (POSTE 400 KV),0.1634846272013869,47.22425638733642,117446401.0,Polygon,Poste électrique d'Avoine,400000,RTE,,,
BRAUD,-0.6820200896708613,45.25776485445327,105515586.0,Polygon,Poste électrique de Braud,400000;225000,RTE,,,
CHAMBRY,2.907250606292962,48.98407286105669,82715808.0,Polygon,Poste électrique de Chambry,400000;63000,RTE,,,
SAUSSET,2.575599591423093,48.97613854529816,188144496.0,Polygon,Poste électrique de Sausset,400000;225000,RTE,,,
FAUX-FRESNAY,3.974628743913348,48.6496625275373,890834366.0,Polygon,Poste électrique de Faux-Fresnay,400000,RTE,,No 100% match,Under construction
COCHE (LA),6.509932326319965,45.49640083366609,147132685.0,Polygon,Poste électrique de La Coche,400000;63000,RTE,,,
LAUNAY,-1.2603461102393128,48.56372878938416,85877326.0,Polygon,Poste électrique de Launay,400000;225000;90000,RTE,,,
SEUIL,4.434041761300101,49.45354372479467,82825446.0,Polygon,Poste électrique de Seuil,400000,RTE,,,
RULHAT,3.2703636157177587,45.813463287511496,71933077.0,Polygon,Poste électrique de Rulhat,400000;225000,RTE,,,
GALOREAUX (LES),-0.8551681720483512,47.31048464286951,467775702.0,Polygon,Poste électrique des Galoreaux,400000;225000,RTE,,,
MONTAGNY-LES-LANCHES,6.056997510518149,45.865174059452414,199229562.0,Polygon,Poste électrique de Montagny-Les Lanches,400000;63000,RTE,,,
TRANS,6.475146630571668,43.51007304351556,121297422.0,Polygon,Poste électrique de Trans en Provence,225000;63000;400000,RTE,,,
TILLEUL,0.9687399452448818,49.0309939411548,30292953.0,Polygon,Poste électrique de Tilleul,400000;90000,RTE,,,
BOUTRE,5.832309249463061,43.69090243594708,100087916.0,Polygon,Poste électrique de Boutre,400000;225000,RTE,,,
GRILLE-AVOINE,0.1634846272013869,47.22425638733642,117446401.0,Polygon,Poste électrique d'Avoine,400000,RTE,,,
GENISSIAT-POSTE,5.804613205738975,46.0558914222814,83293593.0,Polygon,Poste électrique de Génissiat,400000;225000;63000,RTE,,,
LONNY,4.572872065285246,49.82747483626434,82825438.0,Polygon,Poste électrique de Lonny,400000,RTE,,,
DONZAC,0.8228435543876957,44.10262786770663,105913465.0,Polygon,Poste électrique de Donzac,400000;225000,RTE,,,
PENLY (POSTE EVACUATION),1.2274810268706688,49.96857823103559,85719389.0,Polygon,Poste électrique de Penly,400000,RTE,,,
GAVRELLE,2.885346645898033,50.33726372400019,117893799.0,Polygon,Poste électrique de Gavrelle,400000;225000;90000,RTE,,,
ALBERTVILLE,6.418252587318368,45.66191433169308,56998024.0,Polygon,Poste électrique d'Albertville,400000;225000;63000,RTE,,,
MAMBELIN,6.663591631876483,47.36726218345579,39389229.0,Polygon,Poste électrique de Mambelin,400000;225000,RTE,,,
FRASNE,6.163036729368127,46.8719015257908,159167277.0,Polygon,Poste électrique de Frasne,400000;225000;63000,RTE,,,
VERGER,1.5979801750130564,47.71189595716536,86260099.0,Polygon,Poste électrique du Verger,400000,RTE,,,
NEUVES-MAISONS,6.112514483612839,48.61077327094252,147056882.0,Polygon,Poste électrique de Neuves Maisons,400000,RTE,,,
VAUJANY,6.050703273668742,45.1455204397092,147132694.0,Polygon,Poste électrique de Vaujany,15500;400000,RTE,,,
BIANCON,6.835855694028641,43.59507265828472,121500497.0,Polygon,Poste électrique du Biançon,400000;225000,RTE,,,
MARTYRE (LA),-4.193367303658051,48.44395782659023,146695955.0,Polygon,Poste électrique de La Martyre,400000;225000,RTE,,,
SIERENTZ,7.47224490748176,47.64663556568646,49049745.0,Polygon,Poste électrique de Sierentz,400000;225000,RTE,,,
JONQUIERES,4.583663510508429,43.82899443280963,114018928.0,Polygon,Poste électrique des Jonquières,400000;225000;63000,RTE,,,
MUHLBACH,7.555796925629011,47.90710754488321,32196554.0,Polygon,Poste électrique de Muhlbach,400000,RTE,,,
BREUIL (LE),2.2141517875591035,45.24627069715102,82306874.0,Polygon,Poste électrique de Le Breuil,400000;225000,RTE,,,
CUBNEZAIS,-0.4355296546209659,45.06876009183606,235370803.0,Polygon,Poste électrique de Cubnezais,400000;225000;63000,RTE,,,
CREYS,5.466460245678589,45.75615546019545,84153220.0,Polygon,Poste électrique de Creys-Malville,400000,RTE,,,
CHEVALET,2.6383708199486224,50.1796629289048,85217416.0,Polygon,Poste électrique de Chevallet,400000,RTE,,No 100% match,
MASTAING,3.290724027978676,50.296463127218246,82967739.0,Polygon,Poste électrique de Mastaing,400000;225000;90000,RTE,,,
ARGIA (BAYONNE SUD),-1.430143384491294,43.42139845078243,111558550.0,Polygon,Poste électrique de Argia,400000;225000;63000,RTE,,,
MARQUIS (LE),-0.5512377637498288,45.01043482790015,105840884.0,Polygon,Poste électrique du Marquis,400000;225000;63000,RTE,,,
ST-AVOLD,6.703650244433099,49.13853564784563,129378915.0,Polygon,Poste électrique de Saint-Avold,400000;225000;63000,RTE,,,
VAUPALIERE (LA),1.0100612505540392,49.48313439694992,85827398.0,Polygon,Poste électrique de La Vaupalière,400000;225000;90000;20000,RTE,,,
T.SUP / PRION-TAVEL,5.766457767251671,43.70168527649207,147056883.0,Polygon,Poste électrique de Tore Supra,400000,RTE,,No 100% match,
PRAZ-ST-ANDRE,6.583583496069723,45.20533397391629,147132690.0,Polygon,Poste électrique de La Praz Saint-André,400000,RTE,,,
WEPPES,2.8949441907773137,50.64433889523521,85605959.0,Polygon,Poste électrique de Weppes,400000;225000,RTE,,Multiple matches,
OUDON,-1.0085771818800764,47.9861118242071,432466512.0,Polygon,Poste électrique d’Oudon,400000;22500,RTE,,,
TORE SUPRA,5.766457767251671,43.70168527649207,147056883.0,Polygon,Poste électrique de Tore Supra,400000,RTE,,,
BOCTOIS,3.511435211181656,48.51937452772645,118387083.0,Polygon,Poste électrique de Boctois,400000,RTE,,,
RUEYRES,2.6891888693378885,44.779253795276205,83726363.0,Polygon,Poste électrique de Rueyres,400000;225000;63000,RTE,,,
TERRIER,2.2590062493852425,49.21758053852648,85047359.0,Polygon,Poste électrique de Terrier,400000;225000,RTE,,,
MEZEROLLES,1.7414665298090182,48.93301538081504,89034196.0,Polygon,Poste électrique de Mezerolles,400000;225000,RTE,,,
VILLERBON,1.3290376314540426,47.64882654290695,166073883.0,Polygon,Poste électrique de Villerbon,400000;90000,RTE,,,
GREPILLES,4.117042841686416,46.08309172174257,118121876.0,Polygon,Poste électrique de Grépilles,400000;63000,RTE,,,
BROC-CARROS (LE),7.1915995458881445,43.80309836528221,90842395.0,Polygon,Poste électrique de Le Broc-Carros,400000;225000,RTE,,,
ROUGEMONTIER,0.7355471588320995,49.34348974267458,85827397.0,Polygon,Poste électrique de Rougemontier,400000;225000,RTE,,,
BEAUMONT-MONTEUX,4.927969761989206,45.01921084476481,84603564.0,Polygon,Poste électrique de Beaumont Monteux,400000;225000;63000,RTE,,,
SEREIN,3.740952311377658,47.88650859660896,81228088.0,Polygon,Poste électrique de Serein,400000;225000,RTE,,,
VALDIVIENNE,0.6488948603550287,46.46572161955516,105690676.0,Polygon,Poste électrique de Valdivienne,400000;225000;90000,RTE,,,
TERRETTE,-1.1874843764561327,49.161362540373815,85867971.0,Polygon,Poste électrique de Terrette,400000;90000,RTE,,,
ST-VULBAS-OUEST,5.259278592574022,45.79564707516543,426020756.0,Polygon,Poste électrique de Saint-Vulbas,400000;225000;63000,RTE,,No 100% match,
CAPELLE (LA),3.935112185158059,49.9736574627766,117975440.0,Polygon,Poste électrique de La Capelle,400000;225000;63000,RTE,,,
CHAINGY,1.8033191687367067,47.87560254679458,34198056.0,Polygon,Poste électrique de Chaingy,400000;225000;90000;20000,RTE,,,
SCHEER,7.519253196765943,48.3567300233959,214483816.0,Polygon,Poste électrique de Scheer,400000;225000,RTE,,,
TAMAREAU,3.7161638078666512,43.632657759196526,26376870.0,Polygon,Poste électrique de Tamareau,400000;225000,RTE,,,
GROSNE,4.711010142453479,46.629578289847714,122563466.0,Polygon,Poste électrique de Grosne,400000;225000,RTE,,,
COULANGE,4.723430069713843,44.63241097630195,84490483.0,Polygon,Poste électrique de Coulange,400000,RTE,,,
ROM,0.14557001312205,46.3241522679196,448355914.0,Polygon,Poste de Rom,400000,RTE,,,
JUMEAUX (LES),-0.071508399300469,46.80181624810031,110450456.0,Polygon,Poste électrique de Les Jumeaux,400000;22500,RTE,,,
CORNIER,6.295157110732089,46.084628311344666,100500802.0,Polygon,Poste électrique de Cornier,400000;225000;63000;20000,RTE,,,
REALTOR,5.342831306626541,43.44683681126545,27259817.0,Polygon,Poste électrique de Cabriès Realtor,400000;225000,RTE,,,
MIONS,4.975544951684504,45.67434685130104,24020441.0,Polygon,Poste électrique de Mions,400000;225000;63000,RTE,,,
GATINAIS,2.384860674333365,48.089073079511984,86297273.0,Polygon,Poste électrique du Gâtinais,400000;90000,RTE,,,
CERGY,2.059280671924714,49.04898781715813,41722745.0,Polygon,Poste électrique de Cergy,400000;225000,RTE,,,
PRIONNET,5.772348660472201,43.70533142560881,202753898.0,Polygon,Poste électrique du Prionnet,400000,RTE,,,
CHAMPAGNIER,5.709151367175468,45.10635550659926,69813552.0,Polygon,Poste électrique de Champagnier,400000;225000,RTE,,,
BARNABOS,1.0123451804494097,49.65711145486728,85710783.0,Polygon,Poste électrique de Barnabos,400000,RTE,,,
CHANCEAUX,0.6946717949331875,47.48205015414612,27951432.0,Polygon,Poste électrique de Chanceaux,400000,RTE,,,
WARANDE,2.160319155825482,50.94911054822052,85203486.0,Polygon,Poste électrique de Warande,400000;225000,RTE,,,
VILLEVAUDE,2.662400267413925,48.90451856833765,29088787.0,Polygon,Poste électrique de Villevaudé,400000;225000,RTE,,,
PLAN-D ORGON,5.017941674506545,43.82718753588398,241189382.0,Polygon,Poste électrique du Plan d'Orgon,400000;225000;63000,RTE,,,
CAZARIL,0.5134819011823751,43.17131924861918,110443404.0,Polygon,Poste électrique de Cazaril,400000;225000,RTE,,,
