,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
Siedenbrünzow,13.14306865899961,53.907546812796966,941453716.0,Polygon,Siedenbrünzow,380000,50Hertz Transmission GmbH,,,
Vieselbach,11.123246284960429,50.99837545224338,143882655.0,Polygon,Umspannwerk Vieselbach,380000,50Hertz Transmission GmbH,Duplicated OSM name: 143882655 947801636 ,,
Klostermansfeld,11.516324717607722,51.583985361852655,32690742.0,Polygon,Umspannwerk Klostermansfeld,380000,50Hertz Transmission,,,
Pasewalk,14.033684493013713,53.50752310462287,943444232.0,Polygon,Pasewalk,220000,50Hertz Transmission GmbH;E.ON edis AG,,,
Remptendorf - Großschwabhausen,11.6463683228,50.5348779958,128277645.0,Polygon,Remptendorf,380000;220000;110000,50Hertz Transmission GmbH,,No 100% match,"Because actually two substations. Großschwabhausen is treated by core-tso as passing-by, hence we consider Remptendorf correct"
Lubmin,13.682589542133716,54.13898877871192,460134233.0,Polygon,Umspannwerk Lubmin,380000;220000;110000,50Hertz Transmission GmbH,,,
Altenfeld,10.991452474308474,50.57344666551187,149256409.0,Polygon,Umspannwerk Altenfeld,380000,50Hertz Transmission,,,
Stendal/West,11.727508020040233,52.568641774248846,33169401.0,Polygon,Umspannwerk Stendal West,380000,50Hertz Transmission GmbH,,,
Teufelsbruch,13.211527686000409,52.58062783857618,30132758.0,Polygon,Umspannwerk Teufelsbruch,380000;110000,50Hertz Transmission GmbH,,,
Hagenwerder,14.94648201030995,51.06257706569981,59026005.0,Polygon,Hagenwerder,380000;110000,50Hertz,,,
Brunsbüttel,9.201683603864057,53.89581463975608,30622610.0,Polygon,Umspannwerk Kernkraftwerk Brunsbüttel,380000;220000;110000,50Hertz Transmission,,,
Hennigsdorf,13.206292373440498,52.65719244777169,30309989.0,Polygon,Hennigsdorf,220000,50Hertz Transmission,,,
Remptendorf,11.646368322793329,50.534877995848944,128277645.0,Polygon,Remptendorf,380000;220000;110000,50Hertz Transmission GmbH,,,
Marke,12.261620171338826,51.74089164302588,946025110.0,Polygon,Umspannwerk Marke,380000,50Hertz Transmission,,,
Preilack,14.427719548278631,51.88920446874941,941198517.0,Polygon,Umspannwerk Preilack,380000,50Hertz Transmission,,,
Streumen,13.383363177380463,51.35558985233555,157328339.0,Polygon,Streumen,380000,50Hertz Transmission GmbH,,,
Reuter,13.249030342808831,52.53162510101807,43163132.0,Polygon,Umspannwerk Reuter,380000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,,,
Eisenhüttenstadt,14.603938187245152,52.17486454937495,52983550.0,Polygon,Umspannwerk Eisenhüttenstadt,380000,50Hertz Transmission GmbH,,,
Röhrsdorf,12.815082479900957,50.85868947954845,23117075.0,Polygon,Umspannwerk Röhrsdorf,380000,50Hertz Transmission,Duplicated OSM name: 23117075 943135226 ,,
Perleberg,11.852340511063932,53.08685484946127,59707532.0,Polygon,Umspannwerk Perleberg,380000;110000,50Hertz;EON_Avacon,,,
Wolmirstedt,11.640166841902351,52.26899391002077,26472665.0,Polygon,Umspannwerk Wolmirstedt,380000,50Hertz Transmission GmbH,Duplicated OSM name: 26472665 943739676 ,,
Wustermark,12.94304061364579,52.5625656453766,27149550.0,Polygon,Wustermark,380000,50Hertz Transmission GmbH;E.ON edis AG,Duplicated OSM name: 27149550 940635545 ,,
Dresden/Süd,13.842318804824492,50.9894948504854,942771541.0,Polygon,Umspannwerk Dresden Süd,380000,50Hertz Transmission,,,
Wolkramshausen,10.73466945062907,51.44018679097655,157164284.0,Polygon,Wolkramshausen,220000,50Hertz,,,
Heinersdorf (Abzweig),14.132945161410996,52.44306446094298,414169327.0,Polygon,Umspannwerk Heinersdorf,380000;110000,50Hertz Transmission;EON_edis,,,
Freiberg/Nord,13.255555056228744,50.9301782674825,109917397.0,Polygon,Freiberg/Nord (380 kV),380000,50Hertz Transmission,,No 100% match,
Bentwisch,12.21354111484279,54.11198200041446,32318130.0,Polygon,Bentwisch,220000;110000,E.DIS Netz GmbH,,,
Schmölln,14.21916814003768,51.12119095079336,941805476.0,Polygon,Schmölln,380000,50Hertz Transmission GmbH;ENSO,,,
Friedrichshain,13.456433133864914,52.52145796378047,30954714.0,Polygon,Friedrichshain,380000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,,,
Bärwalde,14.508109226522674,51.41371040745656,157806991.0,Polygon,Bärwalde,380000,50Hertz,,,
Ragow,13.90112835771449,51.876172918189965,940922557.0,Polygon,Umspannwerk Ragow,380000,50Hertz Transmission GmbH,,,
Wuhlheide (Abzweig),13.506127335205644,52.473825607472286,22973052.0,Polygon,Umspannwerk Wuhlheide,220000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,,,
Weida,12.04548374072374,50.78094401490776,156673637.0,Polygon,Umspannwerk Weida,220000,50Hertz Transmission,Duplicated OSM name: 156673637 945346148 ,,
Eisenach,10.38634631719523,51.00214547514881,948341123.0,Polygon,Eisenach,380000,50Hertz,,,
Wessin,11.698597650739616,53.57137282125038,234171369.0,Polygon,Umspannwerk Wessin,380000,50Hertz Transmission GmbH,,,
Hamburg/Süd,9.908850396108344,53.48804857010381,11285720.0,Polygon,Hamburg/Süd,380000;110000,50Hertz Transmission;Stromnetz Hamburg GmbH,,,
Parchim/Süd,11.900385987313966,53.407177429914384,517421342.0,Polygon,Prachim/Süd,220000,50Hertz Transmission,,No 100% match,
Lauchstädt,11.894609645338443,51.406527816640285,29713902.0,Polygon,Umspannwerk Lauchstädt,380000;110000,50Hertz Transmission,,,
Neuenhagen,13.71016146635612,52.53912650446616,137197826.0,Polygon,Umspannwerk Neuenhagen,380000,50Hertz Transmission GmbH,Duplicated OSM name: 137197826 942448206 ,,
Perleberg - Putlitz,11.852340511063932,53.08685484946127,59707532.0,Polygon,Umspannwerk Perleberg,380000;110000,50Hertz;EON_Avacon,,No 100% match,
Jessen/Nord,13.058025208507964,51.799883156707125,398680313.0,Polygon,Umspannwerk Jessen Nord (Schweinitz),380000/110000,50Hertz Transmission GmbH,,No 100% match,
Bertikow,13.95701787362336,53.25217590768021,30039908.0,Polygon,Umspannwerk Bertikow,220000;110000,50Hertz Transmission GmbH,,,
Lüdershagen,13.078729133349189,54.28453822043591,946710698.0,Polygon,Lüdershagen,220000,50Hertz Transmission GmbH;E.DIS Netz GmbH,,,
Schönewalde,13.158004263682905,51.828370156304366,28729619.0,Polygon,Umspannwerk Schönewalde,380000,50Hertz Transmission GmbH,Duplicated OSM name: 28729619 28729619 ,,
Mitte,13.368653475247198,52.50314751071992,30303506.0,Polygon,Mitte,380000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,,,
Malchow,13.495562984151958,52.58992665987597,940636813.0,Polygon,Umspannwerk Malchow,380000,50Hertz;Stromnetz Berlin,,,
Eula,12.516992227857756,51.15640065482166,32843531.0,Polygon,Umspannwerk Eula,220000,50Hertz Transmission,Duplicated OSM name: 32843531 946206351 ,,
Thyrow,13.30634069585986,52.23082066092726,29331499.0,Polygon,Umspannwerk Thyrow,220000,50Hertz Transmission,Duplicated OSM name: 29331499 940470389 ,,
Hamburg/Nord,9.984058791561036,53.74147911235294,22720647.0,Polygon,Hamburg Nord,380000;220000,50Hertz Transmission,Duplicated OSM name: 22720647 28008024 ,,
Charlottenburg,13.315515912071875,52.521999394591774,46615737.0,Polygon,Umspannwerk Charlottenburg,380000;110000,Stromnetz Berlin,,,
Marzahn,13.52411315056339,52.53579367850918,22973070.0,Polygon,Umspannwerk Marzahn,380000,50Hertz Transmission,Duplicated OSM name: 22973070 940921737 ,,
Wuhlheide,13.506127335205644,52.473825607472286,22973052.0,Polygon,Umspannwerk Wuhlheide,220000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,,,
Görries,11.37059103472181,53.60071538863728,30040568.0,Polygon,Umspannwerk Görries,380000,50Hertz Transmission;WEMAG,,,
Krümmel,10.414682339890737,53.412590635898894,23366603.0,Polygon,Umspannwerk Krümmel,380000,50Hertz Transmission GmbH,,,
Förderstedt,11.644047381570632,51.90827355563512,943939310.0,Polygon,Umspannwerk Förderstedt,380000,50Hertz Transmission GmbH und Stadtwerke Staßfurt,,,
Putlitz/Süd,12.109095205063756,53.25082285901248,851299584.0,Polygon,Umspannwerk Putlitz Süd,380000,50Hertz,,,
Güstrow,12.185802029962558,53.81602837146264,32062544.0,Polygon,Umspannwerk Güstrow,220000,50Hertz Transmission,Duplicated OSM name: 32062544 940920901 942443697 ,,
Vierraden,14.268068804447308,53.09805938806409,170123812.0,Polygon,Vierraden,380000,50Hertz Transmission,,,
Graustein,14.471920575633458,51.55412023706377,30164703.0,Polygon,Graustein,380000,50Hertz_Transmission;enviaM,Duplicated OSM name: 30164703 30164703 ,,
Eisenhüttenstadt (Abzweig),14.603938187245152,52.17486454937495,52983550.0,Polygon,Umspannwerk Eisenhüttenstadt,380000,50Hertz Transmission GmbH,,,
Hamburg/Ost,10.158204240057804,53.55541033147901,23583867.0,Polygon,Hamburg/Ost,380000,50Hertz Transmission,Duplicated OSM name: 23583867 23583867 ,,
Altentreptow/Nord,13.318804077070148,53.73664570993886,515358077.0,Polygon,Umspannwerk Altentreptow Nord,380000;33000,50Hertz Transmission GmbH,,,
Altentreptow/Süd,13.174684366100022,53.623604732062056,947118608.0,Polygon,Umspannwerk Altentreptow Süd,380000,50Hertz Transmission GmbH,,,
Heinersdorf,14.132945161410996,52.44306446094298,414169327.0,Polygon,Umspannwerk Heinersdorf,380000;110000,50Hertz Transmission;EON_edis,,,
Gransee,13.263520371739514,52.994084359300295,518455594.0,Polygon,Umspannwerk Gransee,380000,50Hertz Transmission GmbH,,,
Pulgar,12.337422954113377,51.19696836412682,442199284.0,Polygon,Umspannwerk Pulgar,380000;110000,50 Hertz Transmission;Stadtwerke Leipzig,,,
