,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Y-Simbach,13.0027661364,48.2619991182,91086220,Umspannwerk Simbach,220000;110000,TenneT TSO GmbH;Bayernwerk Netz GmbH,bayern,,
Raitersaich,10.8431178333,49.3786926754,24705761,Umspannwerk Raitersaich,380000;220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,bayern,,
Kiel/W,10.0604071257,54.3487681075,27646106,Kiel West,220000;110000,TenneT,schleswig-holstein,,
Grosskrotzenburg,8.9587085913,50.0826077918,42410916,Großkrotzenburg,380000;220000,TenneT TSO GmbH,hessen,,
Y-Rhede,7.2546569,53.02667165,32042992,Rhede,380000,TenneT TSO GmbH,niedersachsen,,
Landesbergen,9.1252657461,52.5382640751,27739871,Landesbergen,380000;220000,TenneT TSO GmbH,niedersachsen,,
Hannover/W,9.5225760218,52.3604090758,23682013,Hannover/West,220000;110000,TenneT;Avacon Netz GmbH,niedersachsen,,
Ganderkesee,8.5639918767,53.0319178277,24493551,Ganderkesee,380000;110000,TenneT;EON_Netz;EWE,niedersachsen,,
Bergrheinfeld,10.1603033127,49.98915675,24715381,Umspannwerk Bergrheinfeld,380000;220000;110000,TenneT TSO GmbH,bayern,,
Mehrum,10.0876497949,52.3151256665,274621059,Umspannwerk Mehrum,220000;110000,TenneT,niedersachsen,,
Y-Frankfurt/SW,8.6184960942,50.0923124569,62061952,Umspannwerk Frankfurt Südwest,380000,,hessen,,
Irsching,11.5813719704,48.7648938539,137602559,Umspannwerk Irsching,380000;220000;110000,,bayern,,
Conneforde,8.0530258122,53.3343569858,173178563,Conneforde 110/220 kV,220000;110000,TenneT;EON_Netz,niedersachsen,,
Mechlenreuth,11.8109550627,50.1836358487,93341407,Umspannwerk Mechlenreuth,380000;110000,TenneT TSO GmbH / Bayernwerk GmbH,bayern,,
Sottrum,9.2504349114,53.1149993151,955268863,Umspannwerk Sottrum,220000,TenneT TSO GmbH,niedersachsen,Multiple matches: Accept the first,
Wechold,9.1450844517,52.8527975399,28812249,Wechold,220000,TenneT TSO GmbH;Avacon Netz GmbH,niedersachsen,,
Altenfeld,10.9914524743,50.5734466655,149256409,Umspannwerk Altenfeld,380000,50Hertz Transmission,thueringen,,
Eisenach,10.3863463172,51.0021454751,948341123,Eisenach,380000,50Hertz,thueringen,,
Urberach,8.7722750347,49.9745743409,23284340,Umspannwerk Urberach,380000;220000;110000,Amprion,hessen,,
Pirach,12.7474625322,48.1487453439,91080806,Umspannwerk Pirach,220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",bayern,,
Stade/W,9.4898052734,53.6325035757,881636329,Umspannwerk Stade-West,380000,,niedersachsen,,
Erzhausen,9.9237686111,51.897571603,699048438,Erzhausen,220000,,niedersachsen,,
Algermissen,9.9171807657,52.2781841986,23899043,Algermissen,380000;110000,TenneT;Avacon Netz GmbH,niedersachsen,,
Elsfleth/W,8.4029769494,53.2371468322,829116805,Schaltanlage Elsfleth/West,380000,TenneT TSO GmbH,niedersachsen,,
Gleidingen,10.4195406943,52.2369606949,30017786,Gleidingen 220 kV,220000,TenneT,niedersachsen,,
Giessen/N,8.6566462303,50.6057490224,202747445,Umspannwerk Gießen Nord,380000;110000,,hessen,,
Meissen,8.9590094558,52.2785295615,23135618,Umspannwerk Meißen,220000;110000,EON_WestfalenWeser,nordrhein-westfalen,,
Nehden,8.624800567,51.4278884148,42797575,Station Nehden,380000;110000,Amprion,nordrhein-westfalen,,
Kiel/S,10.1562825086,54.2755482759,27124619,Kiel-Süd,220000;110000,TenneT;Schleswig-Holstein Netz,schleswig-holstein,,
Zolling,11.8076057127,48.4554268196,133342285,Zolling,220000;110000,,bayern,,
Emden/O,7.2447474029,53.3571157379,559702819,Konverter Station Emden Ost,320000,TenneT TSO GmbH,niedersachsen,,
Meppen,7.2771539591,52.7532426189,206289192,Meppen,380000;110000,TenneT,niedersachsen,,
Y-Huntorf,8.4089697232,53.1902453545,42872354,Huntorf,220000,EON_Netz,niedersachsen,,
Y-Niederlangen,7.1945649047,52.8698410657,797009308,Niederlangen,380000;110000,TenneT TSO GmbH,niedersachsen,,
Wehrendorf,8.3077570384,52.3456357031,33411203,Wehrendorf,380000;220000;110000,Amprion,niedersachsen,,
Ludersheim,11.3271442342,49.3940090687,954971276,Umspannwerk Ludersheim,220000,TenneT TSO GmbH;E.ON Netz GmbH,bayern,,
Herrenwyk,10.8023580242,53.8975474018,74893659,Umspannwerk Herrenwyk,380000;110000,TenneT TSO GmbH,mecklenburg-vorpommern,,Duplicated OSM name: 74893659 74893659
Silz,10.96658,47.26961,95812231,Umspannwerk Silz,220000;110000,TIWAG-Netz AG,,"No 100% match: Because in Austria, manually added",
Y-Wechold,9.1450844517,52.8527975399,28812249,Wechold,220000,TenneT TSO GmbH;Avacon Netz GmbH,niedersachsen,,
Isar,12.2968838213,48.6069099457,77697810,Isar,380000,,bayern,,
Wahle,10.3653386626,52.2846615657,24262656,Wahle 380 kV,380000,TenneT TSO GmbH,niedersachsen,"Multiple matches: Accept the first (380 kV), instead of the 220 kV",
Godenau,9.7973361502,52.000839222,30109913,Godenau,220000;110000,TenneT;Avacon Netz GmbH,niedersachsen,,
Y-Kruen,11.2777210466,47.4958729165,68532663,Umspannwerk Krün,220000;110000,E.ON Netz GmbH,bayern,,
Kriegenbrunn,10.9729039593,49.5585074241,28613721,Umspannwerk Kriegenbrunn,380000;110000;20000,Tennet TSO GmbH/ Bayernwerk Netz GmbH,bayern,,
Audorf/S,9.7259944491,54.2878129323,35176751,Audorf Süd,380000;110000,TenneT TSO GmbH,schleswig-holstein,,
Y-Alfstedt,9.0688137984,53.5666351362,31927411,Alfstedt,380000;110000,TenneT;Avacon Netz GmbH,niedersachsen,,
Buettel,9.2349352665,53.9168453037,136034396,Konverterstation Büttel,380000;320000;250000,,schleswig-holstein,,
Hoepfingen,9.4469187479,49.5902629531,145002769,Umspannwerk Höpfingen,380000;110000,EnBW,baden-wuerttemberg,,
Dauersberg,7.8637588422,50.768088527,152403632,Station Dauersberg,380000;220000;110000,RWE,rheinland-pfalz,,
Vieselbach,11.123246285,50.9983754522,143882655,Umspannwerk Vieselbach,380000,50Hertz Transmission GmbH,thueringen,,Duplicated OSM name: 143882655 947801636
Hardegsen,9.8529284009,51.6492735545,952004951,Hardegsen,380000,TenneT TSO GmbH,niedersachsen,,
Karben,8.8099489177,50.2035666653,24042358,Umspannwerk Karben,380000;110000,TenneT,hessen,,
Suederdonn,9.109710529,53.9721944566,289836713,Umspannwerk Süderdonn,380000;110000,TenneT TSO,schleswig-holstein,,
Asslar,8.4800953032,50.5909204726,24536211,Umspannwerk Aßlar,380000;110000,E.ON Mitte AG,hessen,,
Kummerfeld,9.7759908077,53.6906694051,25306938,Kummerfeld,380000,TenneT TSO,schleswig-holstein,,
Stadorf,10.3815443701,52.993374104,28343121,Stadorf,380000,TenneT,niedersachsen,,
Ingolstadt,11.507780016,48.7611386581,24768051,Ingolstadt,380000;220000;110000,,bayern,,
Simbach,13.0027661364,48.2619991182,91086220,Umspannwerk Simbach,220000;110000,TenneT TSO GmbH;Bayernwerk Netz GmbH,bayern,,
Wuergassen,9.3876407551,51.6407349073,274630377,Würgassen,380000;220000;110000,Tennet TSO,nordrhein-westfalen,,
Rhede,7.2546569,53.02667165,32042992,Rhede,380000,TenneT TSO GmbH,niedersachsen,,
Sittling,11.792413892,48.8382240504,24759324,Umspannwerk Sittling,220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,bayern,,
Veltheim,8.9328800766,52.1934481311,28397771,Veltheim,220000,Westfalen Weser Netz GmbH,nordrhein-westfalen,,
Kriftel,8.4717634412,50.0973202019,38661452,Umspannwerk Kriftel,380000;110000,Amprion,hessen,,
Remptendorf,11.6463683228,50.5348779958,128277645,Remptendorf,380000;220000;110000,50Hertz Transmission GmbH,thueringen,,
Niederlangen,7.1945649047,52.8698410657,797009308,Niederlangen,380000;110000,TenneT TSO GmbH,niedersachsen,,
Bergshausen,9.5138306813,51.2589793703,156960655,Umspannwerk Bergshausen,380000,TenneT,hessen,,
Etzenricht,12.1147699284,49.6311522264,29084374,Umspannwerk Etzenricht,380000;110000,Tennet;EON_Netz,bayern,,
Ohlensehlen,8.8956271716,52.5639899703,953015049,Ohlensehlen,380000;110000,Amprion GmbH,niedersachsen,,
Y-Doernigheim,8.8730066635,50.1308545864,23881272,Dörnigheim 220 kV,220000;110000,TenneT TSO GmbH,hessen,,
Hattorf,10.7612483715,52.3674536516,24258096,Umspannwerk Hattorf,380000,EON_Netz,niedersachsen,,
Dipperz,9.7741505806,50.5287493811,148446247,Dipperz,380000;110000,Tennet,hessen,,
Dollern,9.5017900324,53.5428146809,24502420,Dollern,380000;220000;110000,TenneT;Avacon Netz GmbH,niedersachsen,,
Voslapp,8.0856506344,53.6058342211,26455019,Voslapp,220000;110000,TenneT;EON_Netz,niedersachsen,,
Kruemmel,10.4146823399,53.4125906359,23366603,Umspannwerk Krümmel,380000,50Hertz Transmission GmbH,schleswig-holstein,,
Waldeck,9.050394697,51.1673109858,41072584,Waldeck,380000,TenneT TSO GmbH,hessen,,
Goettingen,9.8822365287,51.5154325972,802246764,Göttingen,220000,TenneT TSO GmbH,niedersachsen,,
Ovenstaedt,8.9396925656,52.403033288,24604789,Schaltanlage Ovenstädt,380000,TenneT TSO GmbH,niedersachsen,,Duplicated OSM name: 24604789 24604789
Schwandorf,12.0822544997,49.297447747,28956649,Schwandorf,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",bayern,,
Marienberg,12.1301906523,47.9131654872,75865676,Marienberg,220000,"Tennet TSO GmbH, E.ON Netz GmbH",bayern,,
Dillenburg,8.2848618125,50.7590735162,24536328,Dillenburg,380000;110000,e.on;Mitte AG,hessen,,
Cloppenburg,8.0816267508,52.8586375006,50643382,Cloppenburg 220 kV,220000,TenneT,niedersachsen,,
Niedervieland,8.6951607957,53.0925361245,44717036,Niedervieland,380000;110000,Wesernetz Bremen GmbH,bremen,,Duplicated OSM name: 44717036 44717036
Fedderwarden,8.0636966009,53.5558020113,637595524,Fedderwarden,380000;220000,TenneT,niedersachsen,,
Hamburg/N,9.9840587916,53.7414791124,22720647,Hamburg Nord,380000;220000,50Hertz Transmission,schleswig-holstein,,Duplicated OSM name: 22720647 28008024
Jardelund,9.1969994663,54.8510980541,301158539,Jardelund,380000;110000;20000,TenneT,schleswig-holstein,,
Trennfeld,9.5943016787,49.7984427334,24765111,Umspannwerk Trennfeld,220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,bayern,,
Conneforde/O,8.0528132019,53.3319137824,23837631,Conneforde/Ost,380000;220000;110000,TenneT,niedersachsen,,
Eltmann,10.6644473027,49.9800385024,24758329,Eltmann,380000;110000,Bayernwerk,bayern,,
