,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Stendal/West,11.72750802,52.5686417742,33169401,Umspannwerk Stendal West,380000,50Hertz Transmission GmbH,sachsen-anhalt,,
Heinersdorf,14.1329451614,52.4430644609,414169327,Umspannwerk Heinersdorf,380000;110000,50Hertz Transmission;EON_edis,brandenburg,,
Remptendorf,11.6463683228,50.5348779958,128277645,Remptendorf,380000;220000;110000,50Hertz Transmission GmbH,thueringen,,
Brunsbüttel,9.2016836039,53.8958146398,30622610,Umspannwerk Kernkraftwerk Brunsbüttel,380000;220000;110000,50Hertz Transmission,schleswig-holstein,,
Eisenhüttenstadt,14.6039381872,52.1748645494,52983550,Umspannwerk Eisenhüttenstadt,380000,50Hertz Transmission GmbH,brandenburg,,
Pulgar,12.3374229541,51.1969683641,442199284,Umspannwerk Pulgar,380000;110000,50 Hertz Transmission;Stadtwerke Leipzig,sachsen,,
Altentreptow/Süd,13.1746843661,53.6236047321,947118608,Umspannwerk Altentreptow Süd,380000,50Hertz Transmission GmbH,mecklenburg-vorpommern,,
Förderstedt,11.6440473816,51.9082735556,943939310,Umspannwerk Förderstedt,380000,50Hertz Transmission GmbH und Stadtwerke Staßfurt,sachsen-anhalt,,
Hamburg/Süd,9.9088503961,53.4880485701,11285720,Hamburg/Süd,380000;110000,50Hertz Transmission;Stromnetz Hamburg GmbH,hamburg,,
Neuenhagen,13.7101614664,52.5391265045,137197826,Umspannwerk Neuenhagen,380000,50Hertz Transmission GmbH,brandenburg,,Duplicated OSM name: 137197826 942448206
Dresden/Süd,13.8423188048,50.9894948505,942771541,Umspannwerk Dresden Süd,380000,50Hertz Transmission,sachsen,,
Malchow,13.4955629842,52.5899266599,940636813,Umspannwerk Malchow,380000,50Hertz;Stromnetz Berlin,brandenburg,,
Hennigsdorf,13.2062923734,52.6571924478,30309989,Hennigsdorf,220000,50Hertz Transmission,brandenburg,,
Lauchstädt,11.8946096453,51.4065278166,29713902,Umspannwerk Lauchstädt,380000;110000,50Hertz Transmission,sachsen-anhalt,,
Röhrsdorf,12.8150824799,50.8586894795,23117075,Umspannwerk Röhrsdorf,380000,50Hertz Transmission,sachsen,,Duplicated OSM name: 23117075 943135226
Eula,12.5169922279,51.1564006548,32843531,Umspannwerk Eula,220000,50Hertz Transmission,sachsen,,Duplicated OSM name: 32843531 946206351
Putlitz/Süd,12.1090952051,53.250822859,851299584,Umspannwerk Putlitz Süd,380000,50Hertz,brandenburg,,
Schönewalde,13.1580042637,51.8283701563,28729619,Umspannwerk Schönewalde,380000,50Hertz Transmission GmbH,brandenburg,,Duplicated OSM name: 28729619 28729619
Graustein,14.4719205756,51.5541202371,30164703,Graustein,380000,50Hertz_Transmission;enviaM,brandenburg,,Duplicated OSM name: 30164703 30164703
Bärwalde,14.5081092265,51.4137104075,157806991,Bärwalde,380000,50Hertz,sachsen,,
