,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2
PRATCLAUX,3.6499616663240495,44.973430890919815,125494395.0,Polygon,Poste électrique de Pratclaux,225000;63000,RTE,,
CHEVILLY,2.365261606887227,48.77390797557032,44448089.0,Polygon,Poste électrique de Chevilly,225000,RTE,,
RABATAU,5.397325113345998,43.27729888847019,590866686.0,Polygon,Rabatau,225000,RTE,,
SENART,2.5847970858901013,48.60870116939494,118339972.0,Polygon,Poste électrique de Sénart,225000,RTE,,
PLEYBER-CHRIST,-3.871901727025589,48.52641023998031,147394013.0,Polygon,Poste électrique de Pleyber-Christ,225000;63000,RTE,,
BALARUC,3.706113015408188,43.445862586619896,129830455.0,Polygon,Poste électrique de Balaruc,225000,RTE,,
FLORENSAC,3.4815509880752606,43.38642905037343,130595758.0,Polygon,Poste électrique de Florensac,225000;63000,RTE,,
ROYE,2.8004278498184187,49.694178178022426,148059535.0,Polygon,Poste électrique de Roye,225000,RTE,,
ST-AUBAN,6.003060855185392,44.0742804750387,146590048.0,Polygon,Poste électrique de Saint-Auban,225000;63000,RTE,,
PLESSIS-GASSOT,2.432692844072609,49.03408698756391,82741307.0,Polygon,Poste électrique de Plessis-Gassot,400000;225000,RTE,,
RANDENS,6.319091453549917,45.52675310248889,208424341.0,Polygon,Poste Électrique de Randens,225000;150000;45000;42000,RTE,,
REALTOR,5.342828629110837,43.44684792039792,27259817.0,Polygon,Poste électrique de Cabriès Realtor,400000;225000,RTE,Multiple matches,
LESCAR,-0.4346224619983327,43.31518472560183,146449674.0,Polygon,Poste électrique de Lescar,225000,RTE,,
ISSOIRE,3.254790218011277,45.55486141186439,74699439.0,Polygon,Poste électrique d'Issoire,225000;63000;20000,RTE,,Duplicated OSM name: 74699439 477926841
PIQUAGE A PLUVIGNER,-2.1681130290915718,47.33806244548545,143124467.0,Polygon,Poste électrique de Guersac,225000,RTE,,
LUMES,4.79623406856392,49.748086321125065,129631438.0,Polygon,Poste électrique de Lumes,225000;63000,RTE,,
AVALLON,3.919587331809126,47.4966466147318,1056316394.0,Polygon,Poste électrique d’Avallon,225000;63000,RTE,,
JOUX-LA-VILLE,3.882428983326253,47.64362080120502,471603406.0,Polygon,Poste électrique de Joux-la-Ville,225000,WPD,,Duplicated OSM name: 471603406 474033911
BONNIERES,1.5592797339665152,49.02249122069794,92316708.0,Polygon,Poste électrique de Bonnières,225000,RTE,,
ENCO-DE-BOTTE,5.480837385421006,43.32087643224694,118213015.0,Polygon,En Cò-de-Botte,225000,RTE,No 100% match,
SANILHAC,0.6853809700189103,45.14318908924827,134147651.0,Polygon,Poste électrique de Sanilhac,225000;63000,RTE,,
CRETAINE,2.3584988854098974,48.79926572472379,682366052.0,Polygon,Poste électrique de Crétaine,225000,RTE,,
LESQUIVE,1.2733547589847165,43.81667004235361,49510896.0,Polygon,Poste électrique de Lesquive,400000;225000,RTE,,
SARREGUEMINES,7.0775262050085646,49.09587066159895,136286073.0,Polygon,Sarreguemines,225000,RTE,,
RANVILLE,-0.2817662670103576,49.21639555694501,108089073.0,Polygon,Poste électrique de Ranville,225000,RTE,,
PRAGNERES,0.0115129522737736,42.82146296080668,207479669.0,Polygon,Pragneres,225000;63000,RTE,,
BEAULIEU,-1.1204308211662717,46.17632926584693,38073132.0,Polygon,Poste électrique de Beaulieu,225000;90000;20000,RTE,,
GIVORS-BANS,4.78233296929867,45.57566719280128,118133062.0,Polygon,Poste électrique de Givors Bans,225000;63000;20000,RTE,,
NOGENTEL,3.4066175602400266,49.023786914830616,146534504.0,Polygon,Poste électrique de Nogentel,225000,RTE,,
MUREAUX (LES),1.8950180994203267,48.99286556243229,89022039.0,Polygon,Poste électrique des Mureaux,225000;63000,RTE,,
BARBUISE,3.592072108716269,48.560956867403966,118387084.0,Polygon,Poste électrique de Barbuise,225000;63000,RTE,,
MOUGUERRE,-1.4414708353476575,43.48444364321335,111558561.0,Polygon,Poste électrique de Mouguerre,225000,RTE,,
AVELIN,3.0822795331406705,50.52484805919224,85605950.0,Polygon,Poste électrique d’Avelin,400000;225000,RTE,,
GRAND-COEUR,6.488385705350899,45.51582329971605,147580968.0,Polygon,Poste électrique de Grand-Coeur,63000;225000,RTE,,
AULNOYE,3.8162172886683208,50.19920449798767,757237014.0,Polygon,Aulnoye,225000,RTE,,
PLAINE HAUTE,-2.877914311780166,48.42991708436529,86023818.0,Polygon,Poste électrique de Plaine-Haute,400000;225000,RTE,,
LANDERNEAU,-4.236608845826533,48.46053471691514,147394009.0,Polygon,Poste électrique de Landerneau,250000;63000;20000,RTE,,
SOISSONS-NOTRE-DAME,3.320071219858648,49.35596416092264,83118679.0,Polygon,Poste électrique de Soissons-Notre-Dame,225000,RTE,,
GRISOLLES,6.136568761289752,44.57833833554758,101207712.0,Polygon,Poste électrique de Grisolles,225000;63000,RTE,,
PLAN-DE-GRASSE,6.9402220623828255,43.65568600461634,69332224.0,Polygon,Poste électrique de Plan de Grasse,225000,RTE,,
ST-ORENS,1.5115386311810703,43.55262119981538,16287586.0,Polygon,Poste électrique de Saint-Orens,225000,RTE,,
CROIX-DE-METZ,5.916374424488044,48.69208295129416,120861987.0,Polygon,Poste électrique de Croix-de-Metz,225000;63000;20000,RTE,,
AVOINE (POSTE 400 KV),0.1634846272013932,47.22425638733651,117446401.0,Polygon,Poste électrique d'Avoine,400000,RTE,,
NIORT,-0.4334049411103259,46.34889135332895,85446794.0,Polygon,Poste électrique de Niort,225000;90000;20000,RTE,,
LOGES (LES),2.286403235794015,48.58268341279068,24990664.0,Polygon,Poste électrique des Loges,225000,RTE,,
ARLOD,5.81771934755848,46.097259200836376,118112539.0,Polygon,Poste électrique d’Arlod,225000,RTE,,
