,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2,correction
Hoepfingen,9.446918747930212,49.59026295314599,145002769.0,Polygon,Umspannwerk Höpfingen,380000;110000,EnBW,,,
Grafenrheinfeld,10.187883452706137,49.98122647392122,108797675.0,Polygon,Grafenrheinfeld,380000,,,,
Grossgartach,9.151574900762588,49.14362211775811,25557397.0,Polygon,Umspannwerk Großgartach,380000;220000;110000,TransnetBW GmbH,,,
Buers,9.810985,47.142966,101997887.0,Polygon,Umspannwerk Bürs,380000;220000,Vorarlberger Illwerke AG,No 100% match,,Because in Austria
Altbach,9.370919280255974,48.71912800634382,37721677.0,Polygon,Umspannwerk Altbach 1,380000;110000,Netze BW,No 100% match,,
Philippsburg,8.440945833916912,49.25022026769857,48057110.0,Polygon,Philippsburg,380000,Transnet BW GmbH,,,
RDK8,8.306240200000005,49.01258190000008,809941086.0,Polygon,RDK8,380000,EnBW Energie Baden-Württemberg AG,,,
Daxlanden,8.313340225406092,49.00904347266116,152261133.0,Polygon,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,No 100% match,,
Eichstetten,7.751862552443053,48.09640574883025,87653464.0,Polygon,220-kV-Umspannwerk Eichstetten,220000;110000,EnBW,Multiple matches,,
Stalldorf,9.944479692842783,49.578337870436215,31653753.0,Polygon,Umspannwerk Stalldorf,380000;110000,,,,
Buenzwangen,9.562823506395896,48.70148986120845,26403575.0,Polygon,Netze BW Umspannwerk Bünzwangen,380000;110000,Netze BW,No 100% match,,
GKN2,9.17731116041111,49.03937822593209,153328698.0,Polygon,Gemeinschaftskraftwerk Neckarwestheim 2 (GKN2),380000,,No 100% match,,
Oberjettingen,8.78515377195322,48.5836217465712,26814283.0,Polygon,Umspannwerk Oberjettingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Weier,7.910729352238247,48.501288345239146,146962222.0,Polygon,Umspannwerk Weier,220000;110000,EnBW,,,
Y-Buehl,8.12059601802871,48.705368751615126,39011884.0,Polygon,Umspannwerk Bühl,220000;110000,TransnetBW GmbH,,,
Y-Hoheneck,9.190792677545437,48.914415086962414,25802269.0,Polygon,Amprion Umspannwerk Hoheneck,380000;220000;110000,Amprion GmbH,,,
KarlsruheWest,8.349126149166965,49.013052156003255,32731290.0,Polygon,Karlsruhe-West,220000;110000,Stadtwerke Karlsruhe GmbH,,,
Buehl,8.12059601802871,48.705368751615126,39011884.0,Polygon,Umspannwerk Bühl,220000;110000,TransnetBW GmbH,,,
Dellmensingen,9.88550887153552,48.304069672493554,41389594.0,Polygon,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Hueffenhardt,9.091835332635872,49.29461883180308,143903369.0,Polygon,Umspannwerk Hüffenhardt,380000;220000;110000,,,,
Beuren,8.861525797588907,47.80643535473469,102743264.0,Polygon,Beuren,220000;110000,,,,
Y-Herbertingen,9.4253440768066,48.0644397251101,25306752.0,Polygon,Umspannwerk Herbertingen,380000;220000;110000,EnBW,,,
Metzingen,9.274313810112323,48.54986298266462,30734324.0,Polygon,Umspannwerk Metzingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Y-Bruchsal,8.56214363380266,49.13293039733952,254326606.0,Polygon,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Oberwald,8.44553798665006,48.98608927285572,32725957.0,Polygon,Umspannwerk Oberwald,220000;110000,TransnetBW GmbH;Netze BW GmbH,,,
Heilbronn,9.208833863523513,49.17423195927888,1038821599.0,Polygon,Heilbronn,380000,Transnet BW GmbH,,,
