,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
Rheinhausen,6.720308830908755,51.39153012288341,92024105.0,Polygon,Station Rheinhausen,220000,Amprion,,,
Selbeck,6.868045010993416,51.37447481153728,25043127.0,Polygon,Station Selbeck,380000;110000,Amprion;Westnetz,,,
Stockem,7.095822741107252,50.82688896167837,22796434.0,Polygon,Station Stockem,220000;110000,Westnetz,,,
Quint,6.702285455777401,49.82899444427388,151967291.0,Polygon,Station Quint,220000;110000,Amprion; Westnetz,,,
Bechterdissen,8.659610012459375,52.00034857382487,24264701.0,Polygon,Bechterdissen,220000;110000,TenneT TSO GmbH,Duplicated OSM name: 24264701 957746797 ,,
Walsum,6.715197472199211,51.5268080533945,24478889.0,Polygon,Station Walsum,220000;110000,Amprion,,,
Dillenburg,8.28486181251379,50.75907351621431,24536328.0,Polygon,Dillenburg,380000;110000,e.on;Mitte AG,,,
Koblenz,7.593301877610282,50.38594381664384,160584794.0,Polygon,Station Koblenz,380000;110000,RWE,,,
Y-Stockem,7.095822741107252,50.82688896167837,22796434.0,Polygon,Station Stockem,220000;110000,Westnetz,,,
Amelsbueren,7.607116177157128,51.8986046307958,42861703.0,Polygon,Amelsbüren,220000,Amprion,,,
Osburg,6.813684274912216,49.72483416686441,42097854.0,Polygon,Station Osburg,380000;110000,Amprion; Westnetz,,,
Y-Gersteinwerk,7.709038739054855,51.67646671921391,42507488.0,Polygon,Station Gersteinwerk,220000,Amprion,Duplicated OSM name: 42507488 952594482 ,,
Gellep,6.674738882328187,51.324867954651424,1040551074.0,Polygon,Station Gellep,220000:110000,Amprion,Duplicated OSM name: 1040551074 10753350 ,,
Mutterstadt,8.35233394492863,49.421274356930944,152924498.0,Polygon,Netzleitstelle Mutterstadt,220000;110000,Pfalzwerke,,,
Weissenthurm,7.449489147076909,50.40253032636382,395847307.0,Polygon,Station Weißenthurm,380000;220000;110000,Amprion,,,
Niederlangen,7.194564904714271,52.869841065668645,797009308.0,Polygon,Niederlangen,380000;110000,TenneT TSO GmbH,,,
Y-St. Huelfe,8.40350236040683,52.60907601215952,32904794.0,Polygon,Station Sankt Hülfe,380000;110000,Amprion,,No 100% match,
Laer,7.278860519864335,51.4722322572028,66038431.0,Polygon,Station Laer,220000;110000,Amprion,,,
Doerpen West,7.256250263683378,52.98145861873586,142487746.0,Polygon,Dörpen West,380000;320000,TenneT Offshore GmbH,,,
Eiserfeld,7.98506748165171,50.842225493306856,89043564.0,Polygon,Station Eiserfeld,220000;110000,Amprion,,,
Herbertingen,9.4253440768066,48.0644397251101,25306752.0,Polygon,Umspannwerk Herbertingen,380000;220000;110000,EnBW,,,
Uchtelfangen,6.996459202699811,49.37540332206031,54359256.0,Polygon,Umspannwerk Uchtelfangen,380000;220000;110000,Amprion,,,
Bocklemuend,6.851690333186582,50.98414694561532,22690852.0,Polygon,Umspannwerk Bocklemünd,220000;110000,,,,
Ibbenbueren,7.725709161500636,52.27718892791024,29472852.0,Polygon,Station Ibbenbüren,220000;110000,Amprion;Westnetz,,,
Y-Werben,9.71657,47.43264,83529203.0,Polygon,Umspannwerk Werben – Dornbirn,220000;110000,Vorarlberger Energienetze GmbH,,No 100% match,Because in Austria
Linde,7.233199543289645,51.23251323261821,92165128.0,Polygon,Station Linde,380000;110000,Amprion;Westnetz,,,
Sechtem,6.9724598759004,50.79563726149913,22766160.0,Polygon,Station Sechtem,380000;220000;110000,RWE,,,
Oberzier,6.457700440405503,50.87149029113866,26593929.0,Polygon,Station Oberzier,380000;110000,Amprion,,,
Twistetal,8.992792447752914,51.34300940581564,41232144.0,Polygon,Umspannwerk Twistetal,380000;110000,TenneT,,,
Karnap,6.996068915586044,51.51416960830488,59925390.0,Polygon,Station Karnap,380000;110000,,,,
Elmenhorst,7.445069349671856,51.61850011519319,24415232.0,Polygon,Station Elmenhorst,220000;110000,Amprion,,,
Grosskrotzenburg,8.958708591309808,50.0826077917695,42410916.0,Polygon,Großkrotzenburg,380000;220000,TenneT TSO GmbH,,,
Trier,6.62053564068397,49.74893869040139,145680894.0,Polygon,Station Trier,220000,Amprion,,,
Huellen,7.123239074232209,51.525611597419605,23067006.0,Polygon,Station Hüllen,380000;110000,RWE,,,
Y-Otterbach,7.729027530463258,49.48275269326096,152107815.0,Polygon,Otterbach,220000;110000,Amprion,,,
Geithe,7.930744755137682,51.67297521330382,112695048.0,Polygon,Geithe,380000,Trianel,,,
Knapsack,6.842650702727993,50.8635385229617,22765517.0,Polygon,Station Knapsack,380000;110000,Amprion,,,
Lambsheim,8.294959271351203,49.52442754258794,600395952.0,Polygon,Umspannanlage Lambsheim,380000,Amprion,,,
Lippborg,7.981178230031167,51.67354765775157,42488855.0,Polygon,Station Lippborg,380000;110000,Amprion,,,
Saarwellingen,6.765974644480778,49.360090799233845,89215122.0,Polygon,Station Saarwellingen,220000;110000,Amprion,,,
Fuehlingen,6.934911668116568,51.033531922095136,22761692.0,Polygon,UW Fühlingen,220000;110000,RheinEnergie,,,
Y-Osterath,6.625829004351691,51.26061129810614,24799890.0,Polygon,Station Osterath,220000;110000,RWE,Duplicated OSM name: 24799890 77179271 ,,
Y-Paffendorf,6.596019852275015,50.95252746961278,26927264.0,Polygon,Station Paffendorf,380000;110000,Amprion,,,
Woringen,10.213752787155729,47.938734957376944,683227471.0,Polygon,UW Woringen,380000,LEW-Verteilnetz und Amprion,,,
Luestringen,8.104639054942611,52.26510433428036,37764852.0,Polygon,Lüstringen,380000;220000;110000,Amprion;Westnetz,,,
Y-Lippborg,7.981178230031167,51.67354765775157,42488855.0,Polygon,Station Lippborg,380000;110000,Amprion,,,
Y-Welper,7.195979372179284,51.41157533277352,156973363.0,Polygon,Station Welper,220000,RWE,,,
Pfungstadt,8.58859643159893,49.8156337220934,147521567.0,Polygon,Umspannanlage Pfungstadt,220000;110000,RWE,,,
Oberbachern,11.370408790511975,48.29148987377033,18629425.0,Polygon,Umspannwerk Oberbachern,380000;220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,,
Tiengen,8.258827663264396,47.63420888668615,31367940.0,Polygon,Umspannwerk Tiengen,380000;220000;110000,Amprion,,,
Otterbach,7.729027530463258,49.48275269326096,152107815.0,Polygon,Otterbach,220000;110000,Amprion,,,
Meitingen,10.867567075348711,48.53945547524873,24652261.0,Polygon,Station Meitingen,380000,Net,,Multiple matches,
Meckenheim,7.012850436235686,50.61770844908937,42423415.0,Polygon,Meckenheim,380000;110000,Westnetz,,,
Pulverdingen,9.045435450755903,48.902960997054,43688805.0,Polygon,Umspannwerk Pulverdingen,380000;220000;110000,Transnet BW GmbH,,,
Weingarten,8.308455420376125,49.25710489415606,259561755.0,Polygon,Weingarten,380000,,,,
Bauler,6.211020349982434,49.95862578002852,89176939.0,Polygon,SA Bauler,220000,Amprion,,No 100% match,
Voehringen,10.082157401960348,48.26609017292847,85523877.0,Polygon,Vöhringen Amprion,380000,Amprion,,,
Y-Homburg,7.31928580589051,49.30481782437113,156402422.0,Polygon,Homburg,220000;110000,Amprion,,,
Y-Schwelgern,6.741242025705613,51.51307480367936,35834160.0,Polygon,Schwelgern,380000;220000;110000,ThyssenKrupp,,,
Y-Gelsenberg,7.0370235293558325,51.54072779802346,25051880.0,Polygon,Station Gelsenberg,220000;110000,RWE;ELE,,,
Halfeshof,7.123084146476574,51.17158483332769,33816726.0,Polygon,Station Halfeshof,380000;110000,,,,
Siegburg,7.192410168463034,50.79890016560982,22767509.0,Polygon,Station Siegburg,220000;110000,RWE,,,
Kuehmoos,7.958075914315581,47.59547794524665,88916034.0,Polygon,Lastverteilung/Schaltanlage Kühmoos,380000;220000,Schluchseewerk AG,,,
Maximiliansau,8.273277878035147,49.02939466511203,276249131.0,Polygon,Umspannwerk Maximiliansau,220000;110000,Pfalzwerke AG;Amprion GmbH,,,
Kusenhorst,7.060221722122416,51.69639747736853,29077623.0,Polygon,Umspannwerk Kusenhorst,380000;220000;110000,Amprion;Westnetz,,,
Y-Pfungstadt,8.58859643159893,49.8156337220934,147521567.0,Polygon,Umspannanlage Pfungstadt,220000;110000,RWE,,,
Hoheneck,9.190792677545437,48.914415086962414,25802269.0,Polygon,Amprion Umspannwerk Hoheneck,380000;220000;110000,Amprion GmbH,,,
Uentrop,7.992887306488671,51.68370771208923,42488850.0,Polygon,Station Uentrop,380000,Amprion,,,
Kottigerhook,7.011600422827089,52.17763913797467,979801144.0,Polygon,Kottigerhook 380 kV,380000;110000,Amprion,,,
Buerstadt,8.41937316081906,49.63371907557298,149987048.0,Polygon,Station Bürstadt,380000;220000,RWE,,,
Meppen,7.277153959089165,52.75324261892892,206289192.0,Polygon,Meppen,380000;110000,TenneT,,,
Leupolz,10.362499738474495,47.73865994398625,57727004.0,Polygon,Umspannanlage Leupolz,380000;220000;110000,Amprion,,,
Hanekenfaehr,7.3082416626983955,52.47679112116146,61918154.0,Polygon,Hanekenfähr,380000;220000;110000,Amprion,,,
Muendelheim,6.72376718027625,51.35565439330572,91854336.0,Polygon,Station Mündelheim,220000;110000,RWE,,,
Buers,9.810985,47.142966,101997887.0,Polygon,Umspannwerk Bürs,380000;220000,Vorarlberger Illwerke AG,,No 100% match,Because in Austria
Roxel,7.545853774547571,51.9703343157337,25506770.0,Polygon,Station Roxel,380000;110000,Amprion,,,
Witten,7.313215010167073,51.44662662171338,35763480.0,Polygon,Witten,380000,Amprion,,Multiple matches,
Mittelbexbach,7.235793498089118,49.36939238956679,152018146.0,Polygon,Mittelbexbach,380000,Amprion,,,
Kelsterbach,8.531521376056055,50.047887045399385,169244940.0,Polygon,Station Kelsterbach,380000,Amprion,,,
Y-Setzer Wiese,8.020290393908699,50.92361692995778,90148336.0,Polygon,Setzer Wiese,220000,RWE,,,
Pfalzdorf,6.221831906937434,51.69464227886552,23084417.0,Polygon,Station Pfalzdorf,220000;110000,Amprion;Westnetz,,,
Bischofsheim,8.389618629206387,49.98247934596149,24685992.0,Polygon,Umspannstation Bischofsheim,380000;110000,RWE;Kraftwerke Mainz-Wiesbaden,,,
Hattingen,7.167956726297346,51.38931989154421,63114179.0,Polygon,Station Hattingen,380000;220000;110000,Amprion,,,
Y-Bidingen,10.70273280786235,47.8264605398202,77038371.0,Polygon,Umspannwerk Bidingen,380000;110000,LEW,,,
Y-Hanekenfaehr,7.3082416626983955,52.47679112116146,61918154.0,Polygon,Hanekenfähr,380000;220000;110000,Amprion,,,
Ruhrzink,7.32420276953938,51.62130747920862,787840119.0,Polygon,Ruhrzink,220000,Amprion GmbH,,,
Muenster,7.591356543030094,51.92844335952379,111973179.0,Polygon,Station Münster,220000;110000,RWE,,,
Ohlensehlen,8.895627171590712,52.56398997029613,953015049.0,Polygon,Ohlensehlen,380000;110000,Amprion GmbH,,,
Brauweiler,6.804590290688176,50.96625110059548,23084554.0,Polygon,Umspannanlage Brauweiler,380000;220000;110000,RWE,,,
Nehden,8.62480056704377,51.42788841483733,42797575.0,Polygon,Station Nehden,380000;110000,Amprion,,,
Rheinau,8.547160873968362,49.44053973019507,152973139.0,Polygon,Station Rheinau,220000;110000,Net,,,
Datteln,7.338924011796622,51.63214368920335,275138524.0,Polygon,Schaltanlage Datteln 4,380000,Uniper Kraftwerke GmbH,,No 100% match,
Frankfurt,8.6184960942,50.0923124569,62061952.0,Polygon,Umspannwerk Frankfurt Südwest,380000,,,No 100% match,Because unspecified cardinality in core-tso
Gohrpunkt,6.7097559467997785,51.09093247200033,27919734.0,Polygon,Station Gohrpunkt,220000;110000,Amprion,,,
Rommersheim,6.459979850702905,50.211271748421176,1024536785.0,Polygon,Umspannwerk Rommersheim,380000;110000,,,,
Dellmensingen,9.88550887153552,48.304069672493554,41389594.0,Polygon,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Lechhausen,10.93670405059136,48.40129106082093,53378027.0,Polygon,Umspannwerk Lechhausen,380000;110000,Amprion;Stadtwerke Augsburg,,,
Wehrendorf,8.307757038447745,52.34563570305725,33411203.0,Polygon,Wehrendorf,380000;220000;110000,Amprion,,,
Lippe,7.403376981173483,51.64446203616047,121199242.0,Polygon,Station Lippe,380000,RWE,,,
Y-Herbertingen,9.4253440768066,48.0644397251101,25306752.0,Polygon,Umspannwerk Herbertingen,380000;220000;110000,EnBW,,,
Setzer Wiese,8.020290393908699,50.92361692995778,90148336.0,Polygon,Setzer Wiese,220000,RWE,,,
St. Huelfe,8.40350236040683,52.60907601215952,32904794.0,Polygon,Station Sankt Hülfe,380000;110000,Amprion,,No 100% match,
Diefflen,6.755523437374481,49.36486962452438,82310607.0,Polygon,Dieffeln,220000,VSE,,No 100% match,
Niederrhein,6.680796263733797,51.64632880193469,24462426.0,Polygon,Station Niederrhein,380000;220000;110000,RWE,,,
Spellen,6.614278589351338,51.61867882622461,24462317.0,Polygon,Spellen,220000;110000,Amprion,,,
Y-Guetersloh,8.364229604054682,51.92712243101322,26383042.0,Polygon,Gütersloh,380000;220000;110000;10000,Amprion;Westnetz,,,
