,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
Y-Bixterheide,7.7243840908435635,51.40933415630266,51940126.0,Polygon,Umspannwerk Bixterheide,220000;110000,Amprion,,,
Dettingen,8.989507368655055,50.060279806954206,42372159.0,Polygon,Umspannwerk Dettingen,380000;110000,Amprion,Duplicated OSM name: 42372159 42372159 ,,
Y-Bellendorf,7.031690662968561,51.609442996503965,38584673.0,Polygon,Station Bellendorf,220000,RWE,,,
Gundelfingen,10.39177609451572,48.51846091034124,88945213.0,Polygon,Schaltanlage Gundelfingen,380000,Amprion,,,
Asslar,8.480095303151472,50.59092047264495,24536211.0,Polygon,Umspannwerk Aßlar,380000;110000,E.ON Mitte AG,,,
Guetersloh,8.364229604054682,51.92712243101322,26383042.0,Polygon,Gütersloh,380000;220000;110000;10000,Amprion;Westnetz,,,
Y-Dahlem,6.531696645299816,50.3900469726347,32675761.0,Polygon,Station Dahlem,380000;110000,Amprion;Westnetz,,,
Bacharach,7.692541935165413,50.02621584530208,373967500.0,Polygon,Bacharach,380000;110000,Amprion;Westnetz,,,
Y-Edelstahl,6.5424084670371885,51.29944584737248,93278553.0,Polygon,Station Edelstahl Krefeld,220000;110000,,,No 100% match,
Y-Huellen,7.123239074232209,51.525611597419605,23067006.0,Polygon,Station Hüllen,380000;110000,RWE,,,
Wambel,7.522337661750596,51.532173877087054,24414688.0,Polygon,Station Wambel,220000;110000,Amprion,,,
Osterath,6.625829004351691,51.26061129810614,24799890.0,Polygon,Station Osterath,220000;110000,RWE,Duplicated OSM name: 24799890 77179271 ,,
Ohligs,7.0087384303100615,51.17417967022727,106096507.0,Polygon,Station Ohligs,380000;110000,Amprion;Westnetz,,,
Nordlicht,6.906604094757433,51.56523580430414,24280460.0,Polygon,Station Nordlicht,380000;110000,RWE; ELE,,,
Kriftel,8.47176344120472,50.097320201880926,38661452.0,Polygon,Umspannwerk Kriftel,380000;110000,Amprion,,,
Rommerskirchen,6.702194792331111,51.0088598650855,24839976.0,Polygon,Umspannwerk Rommerskirchen,380000;220000,Amprion,,,
Kruckel,7.417046808647433,51.457221831935925,22964137.0,Polygon,Station Kruckel,380000;220000;110000,Amprion;Westnetz,,,
Duelken,6.329986497836532,51.24293354119608,24815262.0,Polygon,Station Dülken,380000;220000;110000,RWE,,,
Y-Rommerskirchen,6.702194792331111,51.0088598650855,24839976.0,Polygon,Umspannwerk Rommerskirchen,380000;220000,Amprion,,,
Utfort,6.617199413011047,51.47583728111109,23380800.0,Polygon,Station Utfort,380000;220000;110000,Amprion,,,
St. Peter,6.8019019261838265,51.124931543128966,49577401.0,Polygon,Station Sankt Peter 220 kV,220000;110000,RWE,,No 100% match,
Poeppinghausen,7.264078945443233,51.57357484256438,28452784.0,Polygon,Station Pöppinghausen,220000;110000,Amprion,,,
Gremberghoven,7.047392378699001,50.90555192019308,29374542.0,Polygon,Station Gremberghoven,220000;110000,RWE,,,
Bergmannsglueck,7.03761994113036,51.59854964417156,22944791.0,Polygon,Station Bergmannsglück,220000;110000,RWE,,,
Dauersberg,7.863758842197255,50.76808852704537,152403632.0,Polygon,Station Dauersberg,380000;220000;110000,RWE,,,
Wengerrohr,6.920161421361758,49.97058618721212,66764943.0,Polygon,Station Wengerohr,220000;110000,Amprion; Westnetz,,No 100% match,
Y-Elmenhorst,7.445069349671856,51.61850011519319,24415232.0,Polygon,Station Elmenhorst,220000;110000,Amprion,,,
Enniger,7.993959170676216,51.82309545032864,42560068.0,Polygon,Station Enniger,380000;110000,Amprion,,,
Urberach,8.772275034667375,49.97457434094854,23284340.0,Polygon,Umspannwerk Urberach,380000;220000;110000,Amprion,,,
Gronau,7.034948633916173,52.2029965351487,952346321.0,Polygon,Station Gronau,220000,,Duplicated OSM name: 952346321 952346322 ,,
Siersdorf,6.216193010895058,50.91236183485157,25992879.0,Polygon,Siersdorf,380000;110000,,,,
Y-Walsum,6.715197472199211,51.5268080533945,24478889.0,Polygon,Station Walsum,220000;110000,Amprion,,,
Edelstahl,6.5424084670371885,51.29944584737248,93278553.0,Polygon,Station Edelstahl Krefeld,220000;110000,,,No 100% match,
Y-Waldlaubersheim,7.815993836091351,49.92211102637205,198448981.0,Polygon,Umspannwerk Waldlaubersheim,380000;110000,RWE,,,
Westerkappeln,7.890386064217893,52.27794041517122,114319248.0,Polygon,Station Westerkappeln,380000,Amprion,Duplicated OSM name: 114319248 954305865 ,,
Kusenhorst 1,7.060221722122416,51.69639747736853,29077623.0,Polygon,Umspannwerk Kusenhorst,380000;220000;110000,Amprion;Westnetz,,No 100% match,
Y-St. Peter,6.8019019261838265,51.124931543128966,49577401.0,Polygon,Station Sankt Peter 220 kV,220000;110000,RWE,,No 100% match,
Oechtel,7.278589348573908,52.319422255099575,796306640.0,Polygon,Öchtel,380000,Amprion,,,
Bixterheide,7.7243840908435635,51.40933415630266,51940126.0,Polygon,Umspannwerk Bixterheide,220000;110000,Amprion,,,
Schwelgern,6.741242025705613,51.51307480367936,35834160.0,Polygon,Schwelgern,380000;220000;110000,ThyssenKrupp,,,
Eller,6.846996879399116,51.20556806132731,23140544.0,Polygon,Station Eller,220000;110000,Amprion,,,
Y-Poeppinghausen,7.264078945443233,51.57357484256438,28452784.0,Polygon,Station Pöppinghausen,220000;110000,Amprion,,,
Norf,6.772521017747321,51.14710319021346,31762305.0,Polygon,Station Norf,220000;110000,,,,
Y-Dauersberg,7.863758842197255,50.76808852704537,152403632.0,Polygon,Station Dauersberg,380000;220000;110000,RWE,,,
Y-Kruckel,7.417046808647433,51.457221831935925,22964137.0,Polygon,Station Kruckel,380000;220000;110000,Amprion;Westnetz,,,
Gelsenberg,7.0370235293558325,51.54072779802346,25051880.0,Polygon,Station Gelsenberg,220000;110000,RWE;ELE,,,
Y-Voehringen,10.082157401960348,48.26609017292847,85523877.0,Polygon,Vöhringen Amprion,380000,Amprion,,,
Y-Ohligs,7.0087384303100615,51.17417967022727,106096507.0,Polygon,Station Ohligs,380000;110000,Amprion;Westnetz,,,
Mengede,7.353019672408075,51.575821142419045,32472806.0,Polygon,Station Mengede,380000,RWE,,,
Waldlaubersheim,7.815993836091351,49.92211102637205,198448981.0,Polygon,Umspannwerk Waldlaubersheim,380000;110000,RWE,,,
Urberach (NEU),8.772275034667375,49.97457434094854,23284340.0,Polygon,Umspannwerk Urberach,380000;220000;110000,Amprion,,No 100% match,
Welper,7.195979372179284,51.41157533277352,156973363.0,Polygon,Station Welper,220000,RWE,,,
Altenkleusheim,7.937986636819215,51.01063735220643,132814303.0,Polygon,Umspannwerk Altenkleusheim,220000;110000,Amprion;Westnetz,,,
Y-Kusenhorst,7.060221722122416,51.69639747736853,29077623.0,Polygon,Umspannwerk Kusenhorst,380000;220000;110000,Amprion;Westnetz,,,
Y-Karnap,6.996068915586044,51.51416960830488,59925390.0,Polygon,Station Karnap,380000;110000,,,,
Y-Garenfeld,7.505971563874954,51.40160535879835,24667346.0,Polygon,Garenfeld,220000;110000,ENERVIE Vernetzt GmbH,,,
Duennwald,7.023544555780102,50.99906843165605,27871140.0,Polygon,Station Dünnwald,220000,,,,
Eiberg,7.125728802861796,51.44906599034112,113546939.0,Polygon,Station Eiberg,380000;220000;110000,Amprion,,,
Rath,6.808906286063298,51.26860763479728,25044557.0,Polygon,Station Rath,380000,,,,
St. Barbara,7.240374772306975,49.3576497643809,89352550.0,Polygon,Schaltanlage St. Barbara,380000;220000;110000,Amprion / STEAG,,,
Hamborn,6.7875299322275335,51.505549426599536,37554416.0,Polygon,Station Hamborn,220000;110000,Amprion,,,
Benteler,7.317849980403577,52.46911152226439,118928165.0,Polygon,Benteler Stahlwerk,220000,,,,
Gersteinwerk,7.709038739054855,51.67646671921391,42507488.0,Polygon,Station Gersteinwerk,220000,Amprion,Duplicated OSM name: 42507488 952594482 ,,
Garenfeld,7.505971563874954,51.40160535879835,24667346.0,Polygon,Garenfeld,220000;110000,ENERVIE Vernetzt GmbH,,,
Niederstedem,6.475062982714618,49.922608785465314,151967290.0,Polygon,Station Niederstedem,380000;220000;110000,Amprion; Westnetz,,,
FWH-S,8.537219075722902,50.07808506811367,23641079.0,Polygon,Farbwerke Höchst Süd (FWH-S),220000;110000,Amprion,,No 100% match,
Liessem,7.1368559671979845,50.642920980893024,26777313.0,Polygon,Station Ließem,380000;110000,Amprion,,,
Opladen,6.965533742474558,51.06993601928009,22761839.0,Polygon,Station Opladen,380000;220000;110000,RWE,,,
Oberottmarshausen,10.840648243415412,48.23795898353696,30613895.0,Polygon,Umspannwerk Oberottmarshausen,380000;110000,Lech-Elektrizitätswerke,,,
Unna,7.71862726556993,51.53420752461524,42809973.0,Polygon,Station Unna,380000;110000,Amprion,,,
Ensdorf,6.773207879811484,49.29107421435738,82773910.0,Polygon,Umspannanlage Ensdorf,380000;220000;110000,,,,
Bochum,7.17937351007122,51.4722006913016,68549340.0,Polygon,Station Bochum,220000;110000,Amprion GmbH,,,
Arpe,8.211705438566499,51.17798501975109,42799487.0,Polygon,Station Arpe,380000;110000,Amprion,,,
Emscherbruch,7.18794,51.55378,,Polygon,Emscherbruch,380000,Amprion,,No 100% match,"Because not yet done. In NEP 2030 (2019) as project AMP-028 for 2024, north to Power Plant Herne 5"
Daxlanden,8.313340225406092,49.00904347266116,152261133.0,Polygon,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,,No 100% match,
Limburg,8.065794350111595,50.40646889792437,50898216.0,Polygon,Station Limburg,380000;110000,Amprion;Süwag,,,
Rosenblumendelle,6.948210986686577,51.44457590187489,26291794.0,Polygon,Station Rosenblumendelle,380000;110000,RWE,,,
Reisholz,6.828052633409942,51.16264600244359,23192640.0,Polygon,Station Reisholz,220000;110000,,,,
Uerdingen,6.656735259258954,51.379523661073,24479984.0,Polygon,Uerdingen,220000;110000,RWE,,,
Y-Diefflen,6.755523437374481,49.36486962452438,82310607.0,Polygon,Dieffeln,220000,VSE,,No 100% match,
Paffendorf,6.596019852275015,50.95252746961278,26927264.0,Polygon,Station Paffendorf,380000;110000,Amprion,,,
Y-Oechtel,7.278589348573908,52.319422255099575,796306640.0,Polygon,Öchtel,380000,Amprion,,,
Buescherhof,6.926758989258948,51.499205696678,24921206.0,Polygon,Station Büscherhof,380000;220000,RWE,,,
