,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,comment
HEISDORF,6.139799220406057,49.66857630213511,1042974725.0,Heisdorf,220000;65000;20000,Creos,
BERTRANGE,6.035292603427935,49.60450384633611,33814243.0,Bertrange,220000;65000;20000,,
BLOOREN,6.17957597406696,49.59723113183395,471787127.0,Poste blindé d'Itzig/Blooren,220000;65000;20000,creos,No 100% match
FLEBOUR,6.114517081247739,49.90536468945172,63089603.0,Flebour,220000;65000,,
OXYLUX,5.952202897975991,49.49692648024399,362773746.0,Poste Oxylux,220000,Creos,
ROOST,6.083459951697059,49.7764164921382,91823933.0,Roost,220000;65000,,
BERCHEM,6.139130546919996,49.550888582784005,95233545.0,Berchem,220000,CREOS; SNCFL,
SCHIFFLANGE,6.01888296174784,49.52084206775434,33814365.0,Schifflange,220000;65000,Creos,
