,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Edelstahl,6.542408467,51.2994458474,93278553,Station Edelstahl Krefeld,220000;110000,,nordrhein-westfalen,No 100% match: But correct,
Osburg,6.8136842749,49.7248341669,42097854,Station Osburg,380000;110000,Amprion; Westnetz,rheinland-pfalz,,
Leupolz,10.3624997385,47.738659944,57727004,Umspannanlage Leupolz,380000;220000;110000,Amprion,bayern,,
Ibbenbueren,7.7257091615,52.2771889279,29472852,Station Ibbenbüren,220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Setzer Wiese,8.0202903939,50.92361693,90148336,Setzer Wiese,220000,RWE,nordrhein-westfalen,,
Rommerskirchen,6.7021947923,51.0088598651,24839976,Umspannwerk Rommerskirchen,380000;220000,Amprion,nordrhein-westfalen,,
Reisholz,6.8280526334,51.1626460024,23192640,Station Reisholz,220000;110000,,nordrhein-westfalen,,
Uerdingen,6.6567352593,51.3795236611,24479984,Uerdingen,220000;110000,RWE,nordrhein-westfalen,,
Eiserfeld,7.9850674817,50.8422254933,89043564,Station Eiserfeld,220000;110000,Amprion,nordrhein-westfalen,,
Muendelheim,6.7237671803,51.3556543933,91854336,Station Mündelheim,220000;110000,RWE,nordrhein-westfalen,,
Tiengen,8.2588276633,47.6342088867,31367940,Umspannwerk Tiengen,380000;220000;110000,Amprion,baden-wuerttemberg,,
Waldlaubersheim,7.8159938361,49.9221110264,198448981,Umspannwerk Waldlaubersheim,380000;110000,RWE,rheinland-pfalz,,
Y-Waldlaubersheim,7.8159938361,49.9221110264,198448981,Umspannwerk Waldlaubersheim,380000;110000,RWE,rheinland-pfalz,,
Huellen,7.1232390742,51.5256115974,23067006,Station Hüllen,380000;110000,RWE,nordrhein-westfalen,,
Knapsack,6.8426507027,50.863538523,22765517,Station Knapsack,380000;110000,Amprion,nordrhein-westfalen,,
Ohligs,7.0087384303,51.1741796702,106096507,Station Ohligs,380000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Selbeck,6.868045011,51.3744748115,25043127,Station Selbeck,380000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Bocklemuend,6.8516903332,50.9841469456,22690852,Umspannwerk Bocklemünd,220000;110000,,nordrhein-westfalen,,
Sechtem,6.9724598759,50.7956372615,22766160,Station Sechtem,380000;220000;110000,RWE,nordrhein-westfalen,,
St. Huelfe,8.4035023604,52.6090760122,32904794,Station Sankt Hülfe,380000;110000,Amprion,niedersachsen,No 100% match: But correct,
Trier,6.6205356407,49.7489386904,145680894,Station Trier,220000,Amprion,rheinland-pfalz,,
Y-St. Peter,6.8019019262,51.1249315431,49577401,Station Sankt Peter 220 kV,220000;110000,RWE,nordrhein-westfalen,No 100% match: But correct,
Frankfurt,8.6184960942,50.0923124569,62061952,Umspannwerk Frankfurt Südwest,380000,,hessen,No 100% match: Because unspecified name. Changed into the second choice: Frankfurt Südwest,
Y-Homburg,7.3192858059,49.3048178244,156402422,Homburg,220000;110000,Amprion,saarland,,
Lippborg,7.98117823,51.6735476578,42488855,Station Lippborg,380000;110000,Amprion,nordrhein-westfalen,,
Osterath,6.6258290044,51.2606112981,24799890,Station Osterath,220000;110000,RWE,nordrhein-westfalen,,Duplicated OSM name: 24799890 77179271
Guetersloh,8.3642296041,51.927122431,26383042,Gütersloh,380000;220000;110000;10000,Amprion;Westnetz,nordrhein-westfalen,,
Meppen,7.2771539591,52.7532426189,206289192,Meppen,380000;110000,TenneT,niedersachsen,,
Brauweiler,6.8045902907,50.9662511006,23084554,Umspannanlage Brauweiler,380000;220000;110000,RWE,nordrhein-westfalen,,
Y-Hanekenfaehr,7.3082416627,52.4767911212,61918154,Hanekenfähr,380000;220000;110000,Amprion,niedersachsen,,
Diefflen,6.7555234374,49.3648696245,82310607,Dieffeln,220000,VSE,saarland,No 100% match: But correct,
Herbertingen,9.4253440768,48.0644397251,25306752,Umspannwerk Herbertingen,380000;220000;110000,EnBW,baden-wuerttemberg,,
Gellep,6.6747388823,51.3248679547,1040551074,Station Gellep,220000:110000,Amprion,nordrhein-westfalen,,
Niederlangen,7.1945649047,52.8698410657,797009308,Niederlangen,380000;110000,TenneT TSO GmbH,niedersachsen,,
Y-Gelsenberg,7.0370235294,51.540727798,25051880,Station Gelsenberg,220000;110000,RWE;ELE,nordrhein-westfalen,,
Hattingen,7.1679567263,51.3893198915,63114179,Station Hattingen,380000;220000;110000,Amprion,nordrhein-westfalen,,
Eiberg,7.1257288029,51.4490659903,113546939,Station Eiberg,380000;220000;110000,Amprion,nordrhein-westfalen,,
Linde,7.2331995433,51.2325132326,92165128,Station Linde,380000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Enniger,7.9939591707,51.8230954503,42560068,Station Enniger,380000;110000,Amprion,nordrhein-westfalen,,
Lechhausen,10.9367040506,48.4012910608,53378027,Umspannwerk Lechhausen,380000;110000,Amprion;Stadtwerke Augsburg,bayern,,
Unna,7.7186272656,51.5342075246,42809973,Station Unna,380000;110000,Amprion,nordrhein-westfalen,,
Stockem,7.0958227411,50.8268889617,22796434,Station Stockem,220000;110000,Westnetz,nordrhein-westfalen,,
Gremberghoven,7.0473923787,50.9055519202,29374542,Station Gremberghoven,220000;110000,RWE,nordrhein-westfalen,,
Pfalzdorf,6.2218319069,51.6946422789,23084417,Station Pfalzdorf,220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Y-Guetersloh,8.3642296041,51.927122431,26383042,Gütersloh,380000;220000;110000;10000,Amprion;Westnetz,nordrhein-westfalen,,
Ensdorf,6.7732078798,49.2910742144,82773910,Umspannanlage Ensdorf,380000;220000;110000,,saarland,,
Y-Pfungstadt,8.5885964316,49.8156337221,147521567,Umspannanlage Pfungstadt,220000;110000,RWE,hessen,,
Gohrpunkt,6.7097559468,51.090932472,27919734,Station Gohrpunkt,220000;110000,Amprion,nordrhein-westfalen,,
Saarwellingen,6.7659746445,49.3600907992,89215122,Station Saarwellingen,220000;110000,Amprion,saarland,,
Y-Paffendorf,6.5960198523,50.9525274696,26927264,Station Paffendorf,380000;110000,Amprion,nordrhein-westfalen,,
FWH-S,8.53765,50.07787,23641079,Farbwerke Höchst Süd (FWH-S),220000;110000,Amprion,hessen,No 100% match: Because core-tso just uses the acronym,
