,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Woringen,10.2137527872,47.9387349574,683227471,UW Woringen,380000,LEW-Verteilnetz und Amprion,bayern,,
Y-Schwelgern,6.7412420257,51.5130748037,35834160,Schwelgern,380000;220000;110000,ThyssenKrupp,nordrhein-westfalen,,
Lambsheim,8.2949592714,49.5244275426,600395952,Umspannanlage Lambsheim,380000,Amprion,rheinland-pfalz,,
Rheinhausen,6.7203088309,51.3915301229,92024105,Station Rheinhausen,220000,Amprion,nordrhein-westfalen,,
Welper,7.1959793722,51.4115753328,156973363,Station Welper,220000,RWE,nordrhein-westfalen,,
Dellmensingen,9.8855088715,48.3040696725,41389594,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Rath,6.8089062861,51.2686076348,25044557,Station Rath,380000,,nordrhein-westfalen,,
Mutterstadt,8.3523339449,49.4212743569,152924498,Netzleitstelle Mutterstadt,220000;110000,Pfalzwerke,rheinland-pfalz,,
Arpe,8.2117054386,51.1779850198,42799487,Station Arpe,380000;110000,Amprion,nordrhein-westfalen,,
Paffendorf,6.5960198523,50.9525274696,26927264,Station Paffendorf,380000;110000,Amprion,nordrhein-westfalen,,
Y-Dahlem,6.5316966453,50.3900469726,32675761,Station Dahlem,380000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Y-Otterbach,7.7290275305,49.4827526933,152107815,Otterbach,220000;110000,Amprion,rheinland-pfalz,,
Meckenheim,7.0128504362,50.6177084491,42423415,Meckenheim,380000;110000,Westnetz,nordrhein-westfalen,,
Muenster,7.591356543,51.9284433595,111973179,Station Münster,220000;110000,RWE,nordrhein-westfalen,,
Wambel,7.5223376618,51.5321738771,24414688,Station Wambel,220000;110000,Amprion,nordrhein-westfalen,,
Koblenz,7.5933018776,50.3859438166,160584794,Station Koblenz,380000;110000,RWE,rheinland-pfalz,,
Geithe,7.9307447551,51.6729752133,112695048,Geithe,380000,Trianel,nordrhein-westfalen,,
Benteler,7.3178499804,52.4691115223,118928165,Benteler Stahlwerk,220000,,niedersachsen,No 100% match: Changed to second option because in OSM adds stahlwerk,
Weissenthurm,7.4494891471,50.4025303264,395847307,Station Weißenthurm,380000;220000;110000,Amprion,rheinland-pfalz,,
Urberach,8.7722750347,49.9745743409,23284340,Umspannwerk Urberach,380000;220000;110000,Amprion,hessen,,
Dettingen,8.9895073687,50.060279807,42372159,Umspannwerk Dettingen,380000;110000,Amprion,bayern,,Duplicated OSM name: 42372159 42372159
Y-Edelstahl,6.542408467,51.2994458474,93278553,Station Edelstahl Krefeld,220000;110000,,nordrhein-westfalen,No 100% match: But correct,
Y-Lippborg,7.98117823,51.6735476578,42488855,Station Lippborg,380000;110000,Amprion,nordrhein-westfalen,,
Y-Diefflen,6.7555234374,49.3648696245,82310607,Dieffeln,220000,VSE,saarland,No 100% match: But correct,
Y-Bellendorf,7.031690663,51.6094429965,38584673,Station Bellendorf,220000,RWE,nordrhein-westfalen,,
Y-Werben,9.71657,47.43264,83529203,Umspannwerk Werben – Dornbirn,220000;110000,Vorarlberger Energienetze GmbH,,No 100% match: In Austria,
Bixterheide,7.7243840908,51.4093341563,51940126,Umspannwerk Bixterheide,220000;110000,Amprion,nordrhein-westfalen,,
Y-Welper,7.1959793722,51.4115753328,156973363,Station Welper,220000,RWE,nordrhein-westfalen,,
St. Peter,6.8019019262,51.1249315431,49577401,Station Sankt Peter 220 kV,220000;110000,RWE,nordrhein-westfalen,No 100% match: But correct,
Dauersberg,7.8637588422,50.768088527,152403632,Station Dauersberg,380000;220000;110000,RWE,rheinland-pfalz,,
Y-Garenfeld,7.5059715639,51.4016053588,24667346,Garenfeld,220000;110000,ENERVIE Vernetzt GmbH,nordrhein-westfalen,,
Wengerrohr,6.9201614214,49.9705861872,66764943,Station Wengerohr,220000;110000,Amprion; Westnetz,rheinland-pfalz,No 100% match: But correct,
Y-Stockem,7.0958227411,50.8268889617,22796434,Station Stockem,220000;110000,Westnetz,nordrhein-westfalen,,
Garenfeld,7.5059715639,51.4016053588,24667346,Garenfeld,220000;110000,ENERVIE Vernetzt GmbH,nordrhein-westfalen,,
Westerkappeln,7.8903860642,52.2779404152,114319248,Station Westerkappeln,380000,Amprion,nordrhein-westfalen,,Duplicated OSM name: 114319248 954305865
Grosskrotzenburg,8.9587085913,50.0826077918,42410916,Großkrotzenburg,380000;220000,TenneT TSO GmbH,hessen,,
Buescherhof,6.9267589893,51.4992056967,24921206,Station Büscherhof,380000;220000,RWE,nordrhein-westfalen,,
Lippe,7.4033769812,51.6444620362,121199242,Station Lippe,380000,RWE,nordrhein-westfalen,,
Bacharach,7.6925419352,50.0262158453,373967500,Bacharach,380000;110000,Amprion;Westnetz,rheinland-pfalz,,
Rosenblumendelle,6.9482109867,51.4445759019,26291794,Station Rosenblumendelle,380000;110000,RWE,nordrhein-westfalen,,
Wehrendorf,8.3077570384,52.3456357031,33411203,Wehrendorf,380000;220000;110000,Amprion,niedersachsen,,
Kusenhorst 1,7.0602217221,51.6963974774,29077623,Umspannwerk Kusenhorst,380000;220000;110000,Amprion;Westnetz,nordrhein-westfalen,No 100% match: But correct,
Kusenhorst,7.0602217221,51.6963974774,29077623,Umspannwerk Kusenhorst,380000;220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Rommersheim,6.4599798507,50.2112717484,1024536785,Umspannwerk Rommersheim,380000;110000,,rheinland-pfalz,,
Maximiliansau,8.273277878,49.0293946651,276249131,Umspannwerk Maximiliansau,220000;110000,Pfalzwerke AG;Amprion GmbH,rheinland-pfalz,,
Y-Herbertingen,9.4253440768,48.0644397251,25306752,Umspannwerk Herbertingen,380000;220000;110000,EnBW,baden-wuerttemberg,,
Twistetal,8.9927924478,51.3430094058,41232144,Umspannwerk Twistetal,380000;110000,TenneT,hessen,,
Limburg,8.0657943501,50.4064688979,50898216,Station Limburg,380000;110000,Amprion;Süwag,hessen,,
Bechterdissen,8.6596100125,52.0003485738,24264701,Bechterdissen,220000;110000,TenneT TSO GmbH,nordrhein-westfalen,,Duplicated OSM name: 24264701 957746797
Kruckel,7.4170468086,51.4572218319,22964137,Station Kruckel,380000;220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Rheinau,8.547160874,49.4405397302,152973139,Station Rheinau,220000;110000,Net,baden-wuerttemberg,,
Niederstedem,6.4750629827,49.9226087855,151967290,Station Niederstedem,380000;220000;110000,Amprion; Westnetz,rheinland-pfalz,,
Spellen,6.6142785894,51.6186788262,24462317,Spellen,220000;110000,Amprion,nordrhein-westfalen,,
Oberzier,6.4577004404,50.8714902911,26593929,Station Oberzier,380000;110000,Amprion,nordrhein-westfalen,,
Fuehlingen,6.9349116681,51.0335319221,22761692,UW Fühlingen,220000;110000,RheinEnergie,nordrhein-westfalen,,
Doerpen West,7.2562502637,52.9814586187,142487746,Dörpen West,380000;320000,TenneT Offshore GmbH,niedersachsen,,
Y-Bixterheide,7.7243840908,51.4093341563,51940126,Umspannwerk Bixterheide,220000;110000,Amprion,nordrhein-westfalen,,
Y-Karnap,6.9960689156,51.5141696083,59925390,Station Karnap,380000;110000,,nordrhein-westfalen,,
Y-Dauersberg,7.8637588422,50.768088527,152403632,Station Dauersberg,380000;220000;110000,RWE,rheinland-pfalz,,
Asslar,8.4800953032,50.5909204726,24536211,Umspannwerk Aßlar,380000;110000,E.ON Mitte AG,hessen,,
Meitingen,10.8675670753,48.5394554752,24652261,Station Meitingen,380000,Net,bayern,Multiple matches: Take the first,
Norf,6.7725210177,51.1471031902,31762305,Station Norf,220000;110000,,nordrhein-westfalen,,
Kriftel,8.4717634412,50.0973202019,38661452,Umspannwerk Kriftel,380000;110000,Amprion,hessen,,
Siersdorf,6.2161930109,50.9123618349,25992879,Siersdorf,380000;110000,,nordrhein-westfalen,,
Quint,6.7022854558,49.8289944443,151967291,Station Quint,220000;110000,Amprion; Westnetz,rheinland-pfalz,,
Altenkleusheim,7.9379866368,51.0106373522,132814303,Umspannwerk Altenkleusheim,220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Poeppinghausen,7.2640789454,51.5735748426,28452784,Station Pöppinghausen,220000;110000,Amprion,nordrhein-westfalen,,
Kuehmoos,7.9580759143,47.5954779452,88916034,Lastverteilung/Schaltanlage Kühmoos,380000;220000,Schluchseewerk AG,baden-wuerttemberg,,
Siegburg,7.1924101685,50.7989001656,22767509,Station Siegburg,220000;110000,RWE,nordrhein-westfalen,,
Y-Voehringen,10.082157402,48.2660901729,85523877,Vöhringen Amprion,380000,Amprion,bayern,,
Weingarten,8.3084554204,49.2571048942,259561755,Weingarten,380000,,rheinland-pfalz,,
Uchtelfangen,6.9964592027,49.3754033221,54359256,Umspannwerk Uchtelfangen,380000;220000;110000,Amprion,saarland,,
Duennwald,7.0235445558,50.9990684317,27871140,Station Dünnwald,220000,,nordrhein-westfalen,,
Pfungstadt,8.5885964316,49.8156337221,147521567,Umspannanlage Pfungstadt,220000;110000,RWE,hessen,,
Buers,9.810985,47.142966,101997887,Umspannwerk Bürs,380000;220000,Vorarlberger Illwerke AG,,No 100% match: In Austria,
Oechtel,7.2785893486,52.3194222551,796306640,Öchtel,380000,Amprion,niedersachsen,,
Y-Oechtel,7.2785893486,52.3194222551,796306640,Öchtel,380000,Amprion,niedersachsen,,
Y-Gersteinwerk,7.7090387391,51.6764667192,42507488,Station Gersteinwerk,220000,Amprion,nordrhein-westfalen,,Duplicated OSM name: 42507488 952594482
Utfort,6.617199413,51.4758372811,23380800,Station Utfort,380000;220000;110000,Amprion,nordrhein-westfalen,,
Y-Bidingen,10.7027328079,47.8264605398,77038371,Umspannwerk Bidingen,380000;110000,LEW,bayern,,
Laer,7.2788605199,51.4722322572,66038431,Station Laer,220000;110000,Amprion,nordrhein-westfalen,,
Y-Ohligs,7.0087384303,51.1741796702,106096507,Station Ohligs,380000;110000,Amprion;Westnetz,nordrhein-westfalen,,
St. Barbara,7.2403747723,49.3576497644,89352550,Schaltanlage St. Barbara,380000;220000;110000,Amprion / STEAG,saarland,,
Y-Osterath,6.6258290044,51.2606112981,24799890,Station Osterath,220000;110000,RWE,nordrhein-westfalen,,Duplicated OSM name: 24799890 77179271
Y-Poeppinghausen,7.2640789454,51.5735748426,28452784,Station Pöppinghausen,220000;110000,Amprion,nordrhein-westfalen,,
Bergmannsglueck,7.0376199411,51.5985496442,22944791,Station Bergmannsglück,220000;110000,RWE,nordrhein-westfalen,,
Y-Setzer Wiese,8.0202903939,50.92361693,90148336,Setzer Wiese,220000,RWE,nordrhein-westfalen,,
Bischofsheim,8.3896186292,49.982479346,24685992,Umspannstation Bischofsheim,380000;110000,RWE;Kraftwerke Mainz-Wiesbaden,hessen,No 100% match: But correct,
Walsum,6.7151974722,51.5268080534,24478889,Station Walsum,220000;110000,Amprion,nordrhein-westfalen,,
Gersteinwerk,7.7090387391,51.6764667192,42507488,Station Gersteinwerk,220000,Amprion,nordrhein-westfalen,,Duplicated OSM name: 42507488 952594482
Elmenhorst,7.4450693497,51.6185001152,24415232,Station Elmenhorst,220000;110000,Amprion,nordrhein-westfalen,,
Kelsterbach,8.5315213761,50.0478870454,169244940,Station Kelsterbach,380000,Amprion,hessen,,
Opladen,6.9655337425,51.0699360193,22761839,Station Opladen,380000;220000;110000,RWE,nordrhein-westfalen,,
Voehringen,10.082157402,48.2660901729,85523877,Vöhringen Amprion,380000,Amprion,bayern,,
Urberach (NEU),8.7722750347,49.9745743409,23284340,Umspannwerk Urberach,380000;220000;110000,Amprion,hessen,No 100% match: But correct,
Hamborn,6.7875299322,51.5055494266,37554416,Station Hamborn,220000;110000,Amprion,nordrhein-westfalen,,
Datteln,7.3389240118,51.6321436892,275138524,Schaltanlage Datteln 4,380000,Uniper Kraftwerke GmbH,nordrhein-westfalen,No 100% match: But correct,
Pulverdingen,9.0454354508,48.9029609971,43688805,Umspannwerk Pulverdingen,380000;220000;110000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Kruckel,7.4170468086,51.4572218319,22964137,Station Kruckel,380000;220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Witten,7.3132150102,51.4466266217,35763480,Witten,380000,Amprion,nordrhein-westfalen,Multiple matches: Take the first,
Oberbachern,11.3704087905,48.2914898738,18629425,Umspannwerk Oberbachern,380000;220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,bayern,,
Buerstadt,8.4193731608,49.6337190756,149987048,Station Bürstadt,380000;220000,RWE,hessen,,
Niederrhein,6.6807962637,51.6463288019,24462426,Station Niederrhein,380000;220000;110000,RWE,nordrhein-westfalen,,
Halfeshof,7.1230841465,51.1715848333,33816726,Station Halfeshof,380000;110000,,nordrhein-westfalen,,
Gundelfingen,10.3917760945,48.5184609103,88945213,Schaltanlage Gundelfingen,380000,Amprion,bayern,,
Nehden,8.624800567,51.4278884148,42797575,Station Nehden,380000;110000,Amprion,nordrhein-westfalen,,
Amelsbueren,7.6071161772,51.8986046308,42861703,Amelsbüren,220000,Amprion,nordrhein-westfalen,,
Y-Rommerskirchen,6.7021947923,51.0088598651,24839976,Umspannwerk Rommerskirchen,380000;220000,Amprion,nordrhein-westfalen,,
Mittelbexbach,7.2357934981,49.3693923896,152018146,Mittelbexbach,380000,Amprion,saarland,,
Nordlicht,6.9066040948,51.5652358043,24280460,Station Nordlicht,380000;110000,RWE; ELE,nordrhein-westfalen,,
Y-Walsum,6.7151974722,51.5268080534,24478889,Station Walsum,220000;110000,Amprion,nordrhein-westfalen,,
Duelken,6.3299864978,51.2429335412,24815262,Station Dülken,380000;220000;110000,RWE,nordrhein-westfalen,,
Kottigerhook,7.0116004228,52.177639138,979801144,Kottigerhook 380 kV,380000;110000,Amprion,nordrhein-westfalen,,
Y-St. Huelfe,8.4035023604,52.6090760122,32904794,Station Sankt Hülfe,380000;110000,Amprion,niedersachsen,No 100% match: But correct,
Gelsenberg,7.0370235294,51.540727798,25051880,Station Gelsenberg,220000;110000,RWE;ELE,nordrhein-westfalen,,
Hoheneck,9.1907926775,48.914415087,25802269,Amprion Umspannwerk Hoheneck,380000;220000;110000,Amprion GmbH,baden-wuerttemberg,,
Uentrop,7.9928873065,51.6837077121,42488850,Station Uentrop,380000,Amprion,nordrhein-westfalen,,
Roxel,7.5458537745,51.9703343157,25506770,Station Roxel,380000;110000,Amprion,nordrhein-westfalen,,
Y-Elmenhorst,7.4450693497,51.6185001152,24415232,Station Elmenhorst,220000;110000,Amprion,nordrhein-westfalen,,
Ohlensehlen,8.8956271716,52.5639899703,953015049,Ohlensehlen,380000;110000,Amprion GmbH,niedersachsen,,
Y-Huellen,7.1232390742,51.5256115974,23067006,Station Hüllen,380000;110000,RWE,nordrhein-westfalen,,
Otterbach,7.7290275305,49.4827526933,152107815,Otterbach,220000;110000,Amprion,rheinland-pfalz,,
Eller,6.8469968794,51.2055680613,23140544,Station Eller,220000;110000,Amprion,nordrhein-westfalen,,
Y-Kusenhorst,7.0602217221,51.6963974774,29077623,Umspannwerk Kusenhorst,380000;220000;110000,Amprion;Westnetz,nordrhein-westfalen,,
Bauler,6.21102035,49.95862578,89176939,SA Bauler,220000,Amprion,rheinland-pfalz,No 100% match: But correct,
Gronau,7.0349486339,52.2029965351,952346321,Station Gronau,220000,,nordrhein-westfalen,,Duplicated OSM name: 952346321 952346322
Luestringen,8.1046390549,52.2651043343,37764852,Lüstringen,380000;220000;110000,Amprion;Westnetz,niedersachsen,,
Ruhrzink,7.3242027695,51.6213074792,787840119,Ruhrzink,220000,Amprion GmbH,nordrhein-westfalen,,
Mengede,7.3530196724,51.5758211424,32472806,Station Mengede,380000,RWE,nordrhein-westfalen,,
Hanekenfaehr,7.3082416627,52.4767911212,61918154,Hanekenfähr,380000;220000;110000,Amprion,niedersachsen,,
Oberottmarshausen,10.8406482434,48.2379589835,30613895,Umspannwerk Oberottmarshausen,380000;110000,Lech-Elektrizitätswerke,bayern,,
Liessem,7.1368559672,50.6429209809,26777313,Station Ließem,380000;110000,Amprion,nordrhein-westfalen,,
Emscherbruch,7.18794,51.55378,,Emscherbruch,380000,Amprion,hessen,"No 100% match:Not yet done. In NEP 2030 (2019) as project AMP-028 for 2024, north to Power Plant Herne 5",
Bochum,7.1793735101,51.4722006913,68549340,Station Bochum,220000;110000,Amprion GmbH,nordrhein-westfalen,,
Daxlanden,8.3133402254,49.0090434727,152261133,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,baden-wuerttemberg,No 100% match: But correct,
Karnap,6.9960689156,51.5141696083,59925390,Station Karnap,380000;110000,,nordrhein-westfalen,,
Dillenburg,8.2848618125,50.7590735162,24536328,Dillenburg,380000;110000,e.on;Mitte AG,hessen,,
Schwelgern,6.7412420257,51.5130748037,35834160,Schwelgern,380000;220000;110000,ThyssenKrupp,nordrhein-westfalen,,
